Rank,Release_Date,Movie_Title,USD_Production_Budget,USD_Worldwide_Gross,USD_Domestic_Gross
1680,10/2/1995,The Quick and the Dead,"$32,000,000","$18,552,460","$18,552,460"
1034,10/3/1995,Outbreak,"$50,000,000","$67,823,573","$67,823,573"
911,10/6/1995,Pocahontas,"$55,000,000","$347,100,000","$141,579,773"
1717,10/11/1995,Ace Ventura: When Nature Calls,"$30,000,000","$212,400,000","$108,360,063"
1107,10/13/1995,The Scarlet Letter,"$50,000,000","$10,359,006","$10,359,006"
1109,10/13/1995,Jade,"$50,000,000","$9,812,870","$9,812,870"
1703,10/20/1995,Get Shorty,"$30,250,000","$115,021,008","$72,021,008"
3827,10/20/1995,Mallrats,"$6,100,000","$2,108,367","$2,108,367"
2371,10/27/1995,Copycat,"$20,000,000","$32,051,917","$32,051,917"
2982,10/27/1995,Vampire in Brooklyn,"$14,000,000","$19,637,147","$19,637,147"
4168,10/27/1995,Leaving Las Vegas,"$4,000,000","$49,800,000","$31,983,777"
2718,11/12/1995,Sense and Sensibility,"$16,500,000","$134,993,774","$42,993,774"
764,11/17/1995,The American President,"$62,000,000","$107,822,813","$60,022,813"
784,11/17/1995,Goldeneye,"$60,000,000","$356,429,941","$106,429,941"
694,11/22/1995,Money Train,"$68,000,000","$77,224,232","$35,324,232"
991,11/22/1995,Casino,"$52,000,000","$110,400,000","$42,438,300"
1705,11/22/1995,Toy Story,"$30,000,000","$364,545,516","$191,796,233"
922,12/5/1995,Crimson Tide,"$55,000,000","$159,387,195","$91,387,195"
3276,12/5/1995,The Perez Family,"$11,000,000","$2,794,056","$2,794,056"
3275,12/14/1995,Othello,"$11,000,000","$2,844,379","$2,844,379"
720,12/15/1995,Jumanji,"$65,000,000","$262,758,310","$100,458,310"
885,12/15/1995,Sabrina,"$58,000,000","$87,100,000","$53,458,319"
1219,12/20/1995,Nixon,"$45,000,000","$34,668,249","$13,668,249"
393,12/22/1995,Cutthroat Island,"$92,000,000","$18,517,322","$10,017,322"
4197,12/25/1995,Four Rooms,"$4,000,000","$4,301,000","$4,301,000"
1867,12/27/1995,Twelve Monkeys,"$29,000,000","$168,841,459","$57,141,459"
1694,12/29/1995,Mr. Holland's Opus,"$31,000,000","$106,282,604","$82,582,604"
2633,12/29/1995,Restoration,"$18,000,000","$4,100,000","$4,100,000"
3251,12/29/1995,Dead Man Walking,"$11,000,000","$83,088,295","$39,387,284"
3506,12/29/1995,Richard III,"$9,200,000","$4,199,334","$2,684,904"
3899,12/31/1995,Men of War,"$6,000,000",$0,$0
823,1/3/1996,Up Close & Personal,"$60,000,000","$100,645,801","$51,045,801"
5379,1/4/1996,Bang,"$10,000",$527,$527
2953,1/11/1996,Romeo+Juliet,"$14,500,000","$147,542,381","$46,338,728"
3113,1/11/1996,The Funeral,"$12,500,000","$1,412,799","$1,212,799"
2388,1/19/1996,From Dusk Till Dawn,"$20,000,000","$25,732,986","$25,728,961"
1236,2/2/1996,The Juror,"$44,000,000","$22,730,924","$22,730,924"
1468,2/2/1996,White Squall,"$38,000,000","$10,229,300","$10,229,300"
573,2/7/1996,Independence Day,"$75,000,000","$817,400,878","$306,169,255"
956,2/8/1996,Chain Reaction,"$55,000,000","$60,209,334","$21,226,204"
3904,2/8/1996,Emma,"$5,900,000","$37,831,658","$22,231,658"
1392,2/16/1996,City Hall,"$40,000,000","$20,278,055","$20,278,055"
3321,2/16/1996,Happy Gilmore,"$10,000,000","$41,004,412","$38,623,460"
4055,2/21/1996,Bottle Rocket,"$5,000,000","$407,488","$407,488"
1150,2/23/1996,Mary Reilly,"$47,000,000","$12,900,000","$5,707,094"
2638,2/23/1996,Unforgettable,"$18,000,000","$2,483,790","$2,483,790"
3679,2/23/1996,Rumble in the Bronx,"$7,500,000","$36,238,752","$32,281,907"
3607,3/4/1996,A Thin Line Between Love & Hate,"$8,000,000","$34,873,513","$34,873,513"
2853,3/5/1996,The Craft,"$15,000,000","$55,669,466","$24,769,466"
3634,3/5/1996,The Pallbearer,"$8,000,000","$5,656,388","$5,656,388"
936,3/15/1996,Executive Decision,"$55,000,000","$122,079,192","$56,679,192"
3194,3/22/1996,Girl 6,"$12,000,000","$4,880,941","$4,880,941"
3732,3/22/1996,Flirting with Disaster,"$7,000,000","$16,149,180","$14,853,474"
1440,3/29/1996,Sgt. Bilko,"$39,000,000","$37,956,589","$30,356,589"
1210,4/10/1996,The Glimmer Man,"$45,000,000","$36,404,841","$20,404,841"
3417,4/10/1996,Crash,"$10,000,000","$3,357,324","$3,357,324"
4120,4/10/1996,Bound,"$4,500,000","$7,011,317","$3,802,260"
4473,4/10/1996,That Thing You Do!,"$2,500,000","$34,557,416","$25,857,416"
1625,4/19/1996,Le hussard sur le toit,"$35,000,000","$1,320,043","$1,320,043"
2129,4/19/1996,Mrs. Winterbourne,"$25,000,000","$10,039,566","$10,039,566"
3080,5/4/1996,Faithful,"$13,000,000","$2,104,439","$2,104,439"
1663,5/7/1996,Phenomenon,"$32,000,000","$152,036,382","$104,636,382"
2003,5/17/1996,Flipper,"$25,530,000","$30,593,313","$20,080,020"
488,5/21/1996,Mission: Impossible,"$80,000,000","$457,697,994","$180,981,886"
2593,5/24/1996,Spy Hard,"$18,000,000","$26,936,265","$26,936,265"
899,5/31/1996,Dragonheart,"$57,000,000","$104,364,680","$51,364,680"
1686,6/9/1996,Bogus,"$32,000,000","$4,357,406","$4,357,406"
3516,6/11/1996,Set It Off,"$9,000,000","$36,049,108","$36,049,108"
541,6/12/1996,Daylight,"$80,000,000","$158,908,290","$32,908,290"
2452,6/12/1996,Everyone Says I Love You,"$20,000,000","$34,600,000","$9,725,847"
1144,6/14/1996,The Cable Guy,"$47,000,000","$102,825,796","$60,240,295"
340,6/21/1996,Eraser,"$100,000,000","$234,400,000","$101,295,562"
341,6/21/1996,The Hunchback of Notre Dame,"$100,000,000","$325,500,000","$100,138,851"
4009,6/21/1996,Lone Star,"$5,000,000","$12,961,389","$12,961,389"
913,6/28/1996,The Nutty Professor,"$55,000,000","$273,814,019","$128,814,019"
1074,6/28/1996,Striptease,"$50,000,000","$113,309,743","$33,109,743"
583,7/6/1996,The Rock,"$75,000,000","$336,069,511","$134,069,511"
1214,7/6/1996,The Phantom,"$45,000,000","$17,220,599","$17,220,599"
1211,7/17/1996,Multiplicity,"$45,000,000","$20,133,326","$20,133,326"
4875,7/17/1996,Walking and Talking,"$1,000,000","$1,615,787","$1,287,480"
1818,7/19/1996,Fled,"$30,000,000","$19,892,205","$17,192,205"
4328,7/19/1996,Trainspotting,"$3,100,000","$71,558,971","$16,501,785"
1288,7/24/1996,A Time to Kill,"$40,000,000","$152,266,007","$108,766,007"
2083,7/26/1996,Kingpin,"$25,000,000","$32,223,424","$25,023,424"
2103,7/26/1996,The Adventures of Pinocchio,"$25,000,000","$36,682,170","$15,382,170"
4595,7/26/1996,Stonewall,"$2,000,000","$304,602","$304,602"
3724,8/3/1996,Fargo,"$7,000,000","$51,204,567","$24,567,751"
641,8/11/1996,Ransom,"$70,000,000","$308,700,000","$136,492,681"
957,8/16/1996,The Fan,"$55,000,000","$18,582,965","$18,582,965"
1188,8/16/1996,Tin Cup,"$45,000,000","$75,854,588","$53,854,588"
2554,8/16/1996,Kansas City,"$19,000,000","$1,353,824","$1,353,824"
1377,8/23/1996,The Island of Dr. Moreau,"$40,000,000","$27,682,712","$27,682,712"
4278,8/23/1996,She's the One,"$3,500,000","$13,795,053","$9,482,579"
4399,8/23/1996,Freeway,"$3,000,000","$295,493","$295,493"
726,9/2/1996,Broken Arrow,"$65,000,000","$148,345,997","$70,645,997"
1088,9/8/1996,Escape from L.A.,"$50,000,000","$25,426,861","$25,426,861"
1185,9/8/1996,Jack,"$45,000,000","$58,617,334","$58,617,334"
4386,9/8/1996,Basquiat,"$3,000,000","$2,962,051","$2,962,051"
2110,9/13/1996,Maximum Risk,"$25,000,000","$51,702,929","$14,102,929"
701,9/20/1996,Last Man Standing,"$67,000,000","$18,115,927","$18,115,927"
1720,9/20/1996,The First Wives Club,"$30,000,000","$181,489,203","$105,489,203"
5160,9/20/1996,When The Cat's Away,"$300,000","$2,525,984","$1,652,472"
1465,9/27/1996,Extreme Measures,"$38,000,000","$17,378,193","$17,378,193"
4117,9/28/1996,Secrets & Lies,"$4,500,000","$13,417,292","$13,417,292"
434,10/5/1996,Twister,"$88,000,000","$495,700,000","$241,688,385"
4981,10/5/1996,Welcome to the Dollhouse,"$800,000","$5,034,794","$4,198,137"
3054,10/7/1996,Harriet the Spy,"$13,000,000","$26,570,048","$26,570,048"
4509,10/16/1996,Get on the Bus,"$2,400,000","$5,691,854","$5,691,854"
1234,10/18/1996,Sleepers,"$44,000,000","$165,600,852","$53,300,852"
5231,10/18/1996,Swingers,"$200,000","$6,618,578","$4,505,922"
2986,10/25/1996,Thinner,"$14,000,000","$15,171,475","$15,171,475"
742,11/10/1996,The Long Kiss Goodnight,"$65,000,000","$33,447,612","$33,447,612"
946,11/10/1996,The Ghost and the Darkness,"$55,000,000","$38,564,422","$38,564,422"
2122,11/10/1996,Michael Collins,"$25,000,000","$27,572,844","$11,092,559"
4770,11/10/1996,Trees Lounge,"$1,300,000","$749,741","$749,741"
515,11/15/1996,Space Jam,"$80,000,000","$250,200,000","$90,463,534"
1257,11/15/1996,The Mirror Has Two Faces,"$42,000,000","$41,267,469","$41,267,469"
1525,11/15/1996,The English Patient,"$35,000,000","$231,711,151","$78,716,374"
4096,11/20/1996,Sling Blade,"$4,833,610","$34,175,000","$24,475,416"
814,11/22/1996,Jingle All the Way,"$60,000,000","$129,832,389","$60,592,389"
1154,11/22/1996,Star Trek: First Contact,"$46,000,000","$150,000,000","$92,027,888"
3924,11/22/1996,Shine,"$5,500,000","$36,665,191","$35,811,509"
2385,12/1/1996,Eye for an Eye,"$20,000,000","$26,792,700","$26,792,700"
1157,12/7/1996,Courage Under Fire,"$46,000,000","$100,833,145","$59,003,384"
3766,12/7/1996,Les Visiteurs,"$7,000,000","$98,754,000","$659,000"
537,12/13/1996,Mars Attacks!,"$80,000,000","$101,371,017","$37,771,017"
1006,12/13/1996,Jerry Maguire,"$50,000,000","$274,000,000","$153,952,592"
1501,12/20/1996,Ghosts of Mississippi,"$36,000,000","$13,052,741","$13,052,741"
2215,12/20/1996,Marvin's Room,"$23,000,000","$12,803,305","$12,803,305"
2282,12/20/1996,My Fellow Americans,"$21,500,000","$22,331,846","$22,331,846"
2796,12/20/1996,Scream,"$15,000,000","$173,046,663","$103,046,663"
3135,12/20/1996,Beavis and Butt-head Do America,"$12,000,000","$63,118,386","$63,118,386"
942,12/25/1996,Evita,"$55,000,000","$151,947,179","$50,047,179"
2631,12/25/1996,Hamlet,"$18,000,000","$7,129,670","$4,501,094"
2934,12/31/1996,Silent Trigger,"$15,000,000","$76,382","$76,382"
395,1/7/1997,Men in Black,"$90,000,000","$587,790,539","$250,690,539"
4340,1/8/1997,Air Bud,"$3,000,000","$27,788,649","$24,646,936"
5357,1/8/1997,In the Company of Men,"$25,000","$2,883,661","$2,883,661"
4057,1/17/1997,Albino Alligator,"$5,000,000","$353,480","$353,480"
3647,1/24/1997,Prefontaine,"$8,000,000","$590,817","$590,817"
1229,1/31/1997,Shadow Conspiracy,"$45,000,000","$2,154,540","$2,154,540"
4201,1/31/1997,Waiting for Guffman,"$4,000,000","$2,922,988","$2,922,988"
1495,2/5/1997,Breakdown,"$36,000,000","$50,159,144","$50,159,144"
1617,2/5/1997,Warriors of Virtue,"$35,000,000","$6,448,817","$6,448,817"
2579,2/5/1997,Austin Powers: International Man of Mystery,"$18,000,000","$67,683,989","$53,883,989"
1050,2/14/1997,Absolute Power,"$50,000,000","$50,068,310","$50,068,310"
1997,2/21/1997,Blood and Wine,"$26,000,000","$1,083,350","$1,083,350"
1548,2/28/1997,Donnie Brasco,"$35,000,000","$65,303,052","$41,954,997"
1622,2/28/1997,Smilla's Sense of Snow,"$35,000,000","$2,221,994","$2,221,994"
4376,2/28/1997,Kama Sutra,"$3,000,000","$4,109,095","$4,109,095"
1940,3/10/1997,Kiss the Girls,"$27,000,000","$60,527,873","$60,527,873"
3381,3/14/1997,Love Jones,"$10,000,000","$12,554,569","$12,554,569"
1159,3/21/1997,Liar Liar,"$45,000,000","$302,710,615","$181,410,615"
2363,3/21/1997,Selena,"$20,000,000","$35,450,113","$35,450,113"
428,3/26/1997,The Devil's Own,"$90,000,000","$140,900,000","$42,885,593"
1687,3/26/1997,Cats Don't Dance,"$32,000,000","$3,588,602","$3,588,602"
5194,3/28/1997,Love and Other Catastrophes,"$250,000","$743,216","$212,285"
423,4/4/1997,The Saint,"$90,000,000","$169,400,000","$61,363,304"
5186,4/4/1997,Chasing Amy,"$250,000","$15,155,095","$12,006,514"
1268,4/18/1997,McHale's Navy,"$42,000,000","$4,408,420","$4,408,420"
4381,4/18/1997,8 Heads in a Duffel Bag,"$3,000,000","$4,002,884","$3,602,884"
427,4/25/1997,Volcano,"$90,000,000","$120,100,000","$47,546,796"
5166,5/3/1997,The Watermelon Woman,"$300,000","$42,735","$42,735"
3303,5/12/1997,Good Will Hunting,"$10,000,000","$225,933,435","$138,433,435"
576,5/22/1997,The Lost World: Jurassic Park,"$75,000,000","$618,638,999","$229,086,679"
509,6/6/1997,Con Air,"$80,000,000","$224,117,573","$101,117,573"
3173,6/8/1997,Def Jam's How To Be a Player,"$12,000,000","$14,010,363","$14,010,363"
304,6/13/1997,Speed 2: Cruise Control,"$110,000,000","$150,468,000","$48,097,081"
648,6/13/1997,Hercules,"$70,000,000","$250,700,000","$99,112,101"
4450,6/13/1997,Ulee's Gold,"$2,700,000","$15,600,000","$9,054,736"
248,6/20/1997,Batman & Robin,"$125,000,000","$238,317,814","$107,325,195"
1152,6/20/1997,My Best Friend's Wedding,"$46,000,000","$298,923,419","$126,813,153"
4231,6/20/1997,The Last Time I Committed Suicide,"$4,000,000","$12,836","$12,836"
4888,6/20/1997,Dream With The Fishes,"$1,000,000","$542,909","$542,909"
503,6/27/1997,Face/Off,"$80,000,000","$241,200,000","$112,276,146"
277,7/2/1997,Dante's Peak,"$115,000,000","$178,200,000","$67,163,857"
353,7/11/1997,Starship Troopers,"$100,000,000","$121,100,000","$54,768,952"
1106,7/11/1997,Mad City,"$50,000,000","$10,561,038","$10,561,038"
4000,7/11/1997,Eve's Bayou,"$5,000,000","$14,843,425","$14,843,425"
916,7/16/1997,George Of The Jungle,"$55,000,000","$174,463,257","$105,263,257"
2049,7/18/1997,Nothing To Lose,"$25,000,000","$64,594,061","$44,480,039"
443,7/25/1997,Air Force One,"$85,000,000","$315,268,353","$172,956,409"
1330,7/31/1997,Spawn,"$40,000,000","$87,949,859","$54,979,992"
520,8/8/1997,Conspiracy Theory,"$80,000,000","$142,783,718","$76,118,990"
669,8/10/1997,Seven Years in Tibet,"$70,000,000","$131,445,884","$37,945,884"
4266,8/13/1997,The Full Monty,"$3,500,000","$257,938,649","$45,950,122"
859,8/15/1997,Event Horizon,"$60,000,000","$26,673,242","$26,673,242"
2769,8/15/1997,Steel,"$16,000,000","$1,686,429","$1,686,429"
2817,8/15/1997,Cop Land,"$15,000,000","$63,706,632","$44,906,632"
1053,8/22/1997,G.I. Jane,"$50,000,000","$48,169,156","$48,169,156"
2053,8/22/1997,Money Talks,"$25,000,000","$41,076,865","$41,076,865"
5113,8/22/1997,Sunday,"$450,000","$450,349","$410,919"
1999,8/24/1997,The Grimm Brothers' Snow White,"$26,000,000","$5,000","$5,000"
377,9/5/1997,The Fifth Element,"$95,000,000","$263,900,000","$63,570,862"
474,9/5/1997,Father's Day,"$85,000,000","$35,681,080","$28,681,080"
1529,9/19/1997,L.A. Confidential,"$35,000,000","$126,204,977","$64,604,977"
1531,9/19/1997,In & Out,"$35,000,000","$83,226,569","$63,826,569"
1062,9/26/1997,The Peacemaker,"$50,000,000","$62,967,368","$41,263,140"
2620,9/26/1997,The Ice Storm,"$18,000,000","$16,011,975","$8,038,061"
3678,9/26/1997,Soul Food,"$7,500,000","$43,492,389","$43,492,389"
848,10/1/1997,The Relic,"$60,000,000","$33,956,608","$33,956,608"
961,10/1/1997,Turbulence,"$55,000,000","$11,532,774","$11,532,774"
2850,10/10/1997,Boogie Nights,"$15,000,000","$43,111,725","$26,410,771"
4038,10/10/1997,The Sweet Hereafter,"$5,000,000","$7,951,247","$4,306,697"
897,10/17/1997,Devil's Advocate,"$57,000,000","$153,007,424","$61,007,424"
2669,10/17/1997,I Know What You Did Last Summer,"$17,000,000","$125,250,091","$72,250,091"
1502,10/24/1997,Gattaca,"$36,000,000","$12,532,777","$12,532,777"
1470,10/31/1997,Switchback,"$38,000,000","$6,504,442","$6,504,442"
3214,10/31/1997,Critical Care,"$12,000,000","$220,175","$220,175"
1181,11/4/1997,Anaconda,"$45,000,000","$136,998,907","$65,598,907"
2847,11/4/1997,Grosse Pointe Blank,"$15,000,000","$31,070,412","$28,084,357"
5372,11/4/1997,Pink Flamingos,"$12,000","$413,802","$413,802"
407,11/7/1997,Contact,"$90,000,000","$165,900,000","$100,920,329"
1923,11/7/1997,A Simple Wish,"$28,000,000","$8,165,213","$8,165,213"
821,11/14/1997,The Jackal,"$60,000,000","$159,356,941","$54,956,941"
980,11/14/1997,Anastasia,"$53,000,000","$139,801,290","$58,403,409"
2432,11/14/1997,The Man Who Knew Too Little,"$20,000,000","$13,801,755","$13,801,755"
1345,11/21/1997,The Rainmaker,"$40,000,000","$45,916,769","$45,916,769"
1578,11/21/1997,Midnight in the Garden of Good and Evil,"$35,000,000","$25,078,937","$25,078,937"
1785,11/21/1997,Mortal Kombat: Annihilation,"$30,000,000","$51,327,406","$35,927,406"
513,11/26/1997,Flubber,"$80,000,000","$177,993,801","$92,993,801"
830,11/26/1997,Alien: Resurrection,"$60,000,000","$160,700,000","$47,795,018"
1052,12/9/1997,The Game,"$50,000,000","$80,369,970","$48,265,581"
1347,12/12/1997,Amistad,"$40,000,000","$58,250,151","$44,212,592"
2165,12/12/1997,Scream 2,"$24,000,000","$101,363,301","$101,363,301"
2449,12/12/1997,Deconstructing Harry,"$20,000,000","$10,686,841","$10,686,841"
3987,12/17/1997,The Apostle,"$5,000,000","$21,277,770","$20,733,485"
37,12/19/1997,Titanic,"$200,000,000","$2,207,615,668","$658,672,302"
290,12/19/1997,Tomorrow Never Dies,"$110,000,000","$339,504,276","$125,304,276"
1451,12/19/1997,Mouse Hunt,"$38,000,000","$61,894,591","$61,894,591"
1008,12/24/1997,As Good as it Gets,"$50,000,000","$314,111,923","$148,478,011"
550,12/25/1997,The Postman,"$80,000,000","$20,841,123","$17,650,704"
1925,12/25/1997,Kundun,"$28,000,000","$5,686,694","$5,686,694"
2818,12/25/1997,Wag the Dog,"$15,000,000","$64,252,038","$43,057,470"
3139,12/25/1997,Jackie Brown,"$12,000,000","$74,727,492","$39,673,162"
3112,12/31/1997,Oscar and Lucinda,"$12,500,000","$1,612,957","$1,612,957"
2090,1/5/1998,He Got Game,"$25,000,000","$22,411,948","$21,567,853"
4216,1/5/1998,Shooting Fish,"$4,000,000","$302,204","$302,204"
4518,1/5/1998,"Dancer, Texas Pop. 81","$2,300,000","$574,838","$574,838"
182,1/7/1998,Armageddon,"$140,000,000","$554,600,000","$201,578,182"
677,1/16/1998,Hard Rain,"$70,000,000","$19,870,567","$19,870,567"
3621,1/16/1998,Half Baked,"$8,000,000","$17,394,881","$17,394,881"
4456,1/16/1998,The Dress,"$2,650,000","$16,556","$16,556"
2077,1/23/1998,Spice World,"$25,000,000","$56,042,592","$29,342,592"
1222,1/30/1998,Deep Rising,"$45,000,000","$11,203,026","$11,203,026"
4048,1/30/1998,Zero Effect,"$5,000,000","$2,080,693","$2,080,693"
530,2/10/1998,What Dreams May Come,"$80,000,000","$71,485,043","$55,485,043"
792,2/10/1998,Antz,"$60,000,000","$152,457,863","$90,757,863"
2685,2/10/1998,A Night at the Roxbury,"$17,000,000","$30,331,165","$30,331,165"
621,2/13/1998,Sphere,"$73,000,000","$50,168,294","$37,068,294"
1871,2/13/1998,The Borrowers,"$29,000,000","$54,045,832","$22,619,589"
5065,2/13/1998,Hurricane Streets,"$500,000","$367,582","$334,041"
5321,2/20/1998,I Love You … Don't Touch Me!,"$68,000","$33,598","$33,598"
1951,2/27/1998,Dark City,"$27,000,000","$27,257,061","$14,435,076"
3468,2/27/1998,An Alan Smithee Film: Burn Hollywood Burn,"$10,000,000","$45,779","$45,779"
524,3/4/1998,Lost In Space,"$80,000,000","$136,047,317","$69,117,629"
849,3/4/1998,Mercury Rising,"$60,000,000","$32,983,332","$32,983,332"
2885,3/4/1998,Barney's Great Adventure,"$15,000,000","$11,156,471","$11,156,471"
3387,3/4/1998,The Spanish Prisoner,"$10,000,000","$13,835,130","$10,162,034"
1537,3/13/1998,The Man in the Iron Mask,"$35,000,000","$56,968,169","$56,968,169"
3771,3/13/1998,Chairman of the Board,"$7,000,000","$306,715","$306,715"
739,3/20/1998,Primary Colors,"$65,000,000","$39,017,984","$39,017,984"
2380,3/20/1998,Wild Things,"$20,000,000","$55,576,699","$29,795,299"
3234,3/20/1998,Madadayo,"$11,900,000","$48,856","$48,856"
3852,3/20/1998,Mr. Nice Guy,"$6,000,000","$31,716,953","$12,716,953"
1956,3/27/1998,The Newton Boys,"$27,000,000","$10,341,093","$10,341,093"
2192,3/27/1998,Meet the Deedles,"$24,000,000","$4,356,126","$4,356,126"
2507,3/27/1998,"Couloirs du temps: Les visiteurs 2, Les","$20,000,000","$26,146,072","$146,072"
4062,3/27/1998,No Looking Back,"$5,000,000","$143,273","$143,273"
4128,3/27/1998,Karakter,"$4,500,000","$713,413","$713,413"
1606,4/9/1998,Knock Off,"$35,000,000","$10,319,915","$10,319,915"
2398,4/12/1998,Psycho,"$20,000,000","$37,226,218","$21,541,218"
3868,4/12/1998,Little Voice,"$6,000,000","$21,787,233","$4,595,000"
4602,4/15/1998,24 7: Twenty Four Seven,"$2,000,000","$72,544","$72,544"
2845,4/17/1998,The Object of my Affection,"$15,000,000","$29,145,924","$29,145,924"
3052,4/24/1998,The Big Hit,"$13,000,000","$27,066,941","$27,066,941"
3854,4/24/1998,Sliding Doors,"$6,000,000","$58,809,149","$11,911,200"
4871,4/24/1998,Two Girls and a Guy,"$1,000,000","$2,315,026","$2,057,193"
780,5/6/1998,The Truman Show,"$60,000,000","$264,118,201","$125,618,201"
2675,5/8/1998,Halloween: H2O,"$17,000,000","$55,041,738","$55,041,738"
804,5/15/1998,The Horse Whisperer,"$60,000,000","$186,883,563","$75,383,563"
1386,5/15/1998,Quest for Camelot,"$40,000,000","$38,172,500","$22,772,500"
1799,5/15/1998,Bulworth,"$30,000,000","$29,203,383","$26,528,684"
4591,5/15/1998,Clockwatchers,"$2,000,000","$539,961","$537,948"
245,5/19/1998,Godzilla,"$125,000,000","$376,000,000","$136,314,294"
2561,5/22/1998,Fear and Loathing in Las Vegas,"$18,500,000","$13,711,903","$10,680,275"
4277,5/27/1998,I Got the Hook-Up!,"$3,500,000","$10,317,779","$10,317,779"
1746,5/29/1998,Hope Floats,"$30,000,000","$81,529,000","$60,110,313"
1811,6/2/1998,The Replacement Killers,"$30,000,000","$19,035,741","$19,035,741"
2427,6/3/1998,Twilight,"$20,000,000","$15,055,091","$15,055,091"
2866,6/3/1998,The Big Lebowski,"$15,000,000","$46,189,568","$17,498,804"
4160,6/3/1998,Love and Death on Long Island,"$4,030,000","$2,542,264","$2,542,264"
666,6/11/1998,The Siege,"$70,000,000","$116,625,798","$40,934,175"
2075,6/11/1998,Elizabeth,"$25,000,000","$82,150,642","$30,082,699"
2197,6/11/1998,The Waterboy,"$23,000,000","$190,191,646","$161,491,646"
3545,6/11/1998,Velvet Goldmine,"$9,000,000","$4,313,644","$1,053,788"
4280,6/11/1998,Gods and Monsters,"$3,500,000","$6,451,628","$6,451,628"
404,6/19/1998,Mulan,"$90,000,000","$303,500,000","$120,620,254"
704,6/19/1998,The X Files: Fight the Future,"$66,000,000","$189,176,423","$83,898,313"
5019,6/19/1998,Hav Plenty,"$650,000","$2,301,777","$2,301,777"
633,6/26/1998,Doctor Dolittle,"$71,500,000","$294,156,605","$144,156,605"
1138,6/26/1998,Out of Sight,"$48,000,000","$77,562,568","$37,562,568"
4561,6/26/1998,Smoke Signals,"$2,000,000","$7,756,617","$6,719,300"
4721,6/26/1998,Buffalo '66,"$1,500,000","$2,380,606","$2,380,606"
620,7/8/1998,Snake Eyes,"$73,000,000","$103,891,409","$55,591,409"
4910,7/8/1998,Safe Men,"$1,000,000","$21,210","$21,210"
5171,7/8/1998,"First Love, Last Rites","$300,000","$10,876","$10,876"
2232,7/15/1998,There's Something About Mary,"$22,000,000","$360,099,999","$176,484,651"
721,7/17/1998,The Mask of Zorro,"$65,000,000","$233,700,000","$93,828,745"
967,7/22/1998,Lolita,"$55,000,000","$1,147,784","$1,147,784"
706,7/24/1998,Saving Private Ryan,"$65,000,000","$485,035,085","$216,335,085"
2865,7/24/1998,Disturbing Behavior,"$15,000,000","$19,014,238","$17,507,368"
3361,7/24/1998,Jane Austen's Mafia,"$10,000,000","$30,143,795","$19,843,795"
1058,7/29/1998,The Negotiator,"$50,000,000","$49,105,766","$44,705,766"
1973,7/31/1998,Ever After: A Cinderella Story,"$26,000,000","$65,705,772","$65,705,772"
3982,8/4/1998,The Players Club,"$5,000,000","$23,047,939","$23,047,939"
495,8/5/1998,Deep Impact,"$80,000,000","$349,464,664","$140,464,664"
3070,8/5/1998,Woo,"$13,000,000","$8,064,972","$8,064,972"
862,8/14/1998,The Avengers,"$60,000,000","$48,585,416","$23,385,416"
2356,8/14/1998,How Stella Got Her Groove Back,"$20,000,000","$37,672,944","$37,672,944"
3451,8/14/1998,La femme de chambre du Titanic,"$10,000,000","$244,465","$244,465"
4031,8/14/1998,Slums of Beverly Hills,"$5,000,000","$5,502,773","$5,502,773"
1177,8/21/1998,Blade,"$45,000,000","$131,237,688","$70,141,876"
2987,8/21/1998,Dead Man on Campus,"$14,000,000","$15,064,948","$15,064,948"
4865,8/21/1998,"Next Stop, Wonderland","$1,000,000","$3,465,703","$3,395,581"
3064,8/28/1998,54,"$13,000,000","$16,757,163","$16,757,163"
5195,8/28/1998,I Married a Strange Person,"$250,000","$203,134","$203,134"
2549,9/1/1998,Firestorm,"$19,000,000","$8,123,860","$8,123,860"
871,9/10/1998,Holy Man,"$60,000,000","$12,069,719","$12,069,719"
4769,9/10/1998,Festen,"$1,300,000","$1,647,780","$1,647,780"
4878,9/10/1998,Slam,"$1,000,000","$1,087,521","$1,009,819"
5300,9/10/1998,The Mighty,"$100,000","$6,121,582","$2,652,246"
1514,9/18/1998,Rush Hour,"$35,000,000","$245,300,000","$141,186,864"
1802,9/18/1998,One True Thing,"$30,000,000","$26,708,196","$23,337,196"
4598,9/18/1998,Six-String Samurai,"$2,000,000","$134,624","$134,624"
944,9/25/1998,Ronin,"$55,000,000","$70,692,101","$41,610,884"
2970,9/25/1998,Urban Legend,"$14,000,000","$72,571,864","$38,116,707"
3643,9/25/1998,Clay Pigeons,"$8,000,000","$2,256,606","$1,793,359"
4909,9/25/1998,The Last Big Thing,"$1,000,000","$22,434","$22,434"
925,10/4/1998,City of Angels,"$55,000,000","$198,750,909","$78,750,909"
186,10/7/1998,Lethal Weapon 4,"$140,000,000","$285,400,000","$130,444,603"
1329,10/7/1998,Small Soldiers,"$40,000,000","$71,743,823","$55,143,823"
5320,10/7/1998,Pi,"$68,000","$4,678,513","$3,221,152"
832,10/16/1998,Practical Magic,"$60,000,000","$68,336,997","$46,850,558"
985,10/16/1998,Beloved,"$53,000,000","$22,852,487","$22,852,487"
2070,10/16/1998,Bride of Chucky,"$25,000,000","$50,692,188","$32,404,188"
