year,category,prize,motivation,prize_share,laureate_type,full_name,birth_date,birth_city,birth_country,birth_country_current,sex,organization_name,organization_city,organization_country,ISO
1944,Chemistry,The Nobel Prize in Chemistry 1944,"""for his discovery of the fission of heavy nuclei""",1/1,Individual,Otto Hahn,1879-03-08,Frankfurt-on-the-Main,Germany,Germany,Male,Max-Planck Institut,Berlin-Dahlem,Germany,DEU
1944,Literature,The Nobel Prize in Literature 1944,"""for the rare strength and fertility of his poetic imagination with which is combined an intellectual curiosity of wide scope and a bold, freshly creative style""",1/1,Individual,Johannes Vilhelm Jensen,1873-01-20,Farsø,Denmark,Denmark,Male,NA,NA,NA,DNK
1944,Medicine,The Nobel Prize in Physiology or Medicine 1944,"""for their discoveries relating to the highly differentiated functions of single nerve fibres""",1/2,Individual,Herbert Spencer Gasser,1888-07-05,"Platteville, WI",United States of America,United States of America,Male,Rockefeller Institute for Medical Research,"New York, NY",United States of America,USA
1944,Medicine,The Nobel Prize in Physiology or Medicine 1944,"""for their discoveries relating to the highly differentiated functions of single nerve fibres""",1/2,Individual,Joseph Erlanger,1874-01-05,"San Francisco, CA",United States of America,United States of America,Male,Washington University,"St. Louis, MO",United States of America,USA
1944,Peace,The Nobel Peace Prize 1944,NA,1/1,Organization,Comité international de la Croix Rouge (International Committee of the Red Cross),NA,NA,NA,NA,NA,NA,NA,NA,
1944,Physics,The Nobel Prize in Physics 1944,"""for his resonance method for recording the magnetic properties of atomic nuclei""",1/1,Individual,Isidor Isaac Rabi,1898-07-29,Rymanow,Austria-Hungary (Poland),Poland,Male,Columbia University,"New York, NY",United States of America,POL
1945,Chemistry,The Nobel Prize in Chemistry 1945,"""for his research and inventions in agricultural and nutrition chemistry, especially for his fodder preservation method""",1/1,Individual,Artturi Ilmari Virtanen,1895-01-15,Helsinki,Russian Empire (Finland),Finland,Male,University of Helsinki,Helsinki,Finland,FIN
1945,Literature,The Nobel Prize in Literature 1945,"""for her lyric poetry which, inspired by powerful emotions, has made her name a symbol of the idealistic aspirations of the entire Latin American world""",1/1,Individual,Gabriela Mistral,1889-04-07,Vicuña,Chile,Chile,Female,NA,NA,NA,CHL
1945,Medicine,The Nobel Prize in Physiology or Medicine 1945,"""for the discovery of penicillin and its curative effect in various infectious diseases""",1/3,Individual,Ernst Boris Chain,1906-06-19,Berlin,Germany,Germany,Male,University of Oxford,Oxford,United Kingdom,DEU
1945,Medicine,The Nobel Prize in Physiology or Medicine 1945,"""for the discovery of penicillin and its curative effect in various infectious diseases""",1/3,Individual,Sir Alexander Fleming,1881-08-06,Lochfield,Scotland,United Kingdom,Male,London University,London,United Kingdom,GBR
1945,Medicine,The Nobel Prize in Physiology or Medicine 1945,"""for the discovery of penicillin and its curative effect in various infectious diseases""",1/3,Individual,Sir Howard Walter Florey,1898-09-24,Adelaide,Australia,Australia,Male,University of Oxford,Oxford,United Kingdom,AUS
1945,Peace,The Nobel Peace Prize 1945,NA,1/1,Individual,Cordell Hull,1871-10-02,"Olympus, TN",United States of America,United States of America,Male,NA,NA,NA,USA
1945,Physics,The Nobel Prize in Physics 1945,"""for the discovery of the Exclusion Principle, also called the Pauli Principle""",1/1,Individual,Wolfgang Pauli,1900-04-25,Vienna,Austria,Austria,Male,Princeton University,"Princeton, NJ",United States of America,AUT
1946,Chemistry,The Nobel Prize in Chemistry 1946,"""for his discovery that enzymes can be crystallized""",1/2,Individual,James Batcheller Sumner,1887-11-19,"Canton, MA",United States of America,United States of America,Male,Cornell University,"Ithaca, NY",United States of America,USA
1946,Chemistry,The Nobel Prize in Chemistry 1946,"""for their preparation of enzymes and virus proteins in a pure form""",1/4,Individual,John Howard Northrop,1891-07-05,"Yonkers, NY",United States of America,United States of America,Male,Rockefeller Institute for Medical Research,"Princeton, NJ",United States of America,USA
1946,Chemistry,The Nobel Prize in Chemistry 1946,"""for their preparation of enzymes and virus proteins in a pure form""",1/4,Individual,Wendell Meredith Stanley,1904-08-16,"Ridgeville, IN",United States of America,United States of America,Male,Rockefeller Institute for Medical Research,"Princeton, NJ",United States of America,USA
1946,Literature,The Nobel Prize in Literature 1946,"""for his inspired writings which, while growing in boldness and penetration, exemplify the classical humanitarian ideals and high qualities of style""",1/1,Individual,Hermann Hesse,1877-07-02,Calw,Germany,Germany,Male,NA,NA,NA,DEU
1946,Medicine,The Nobel Prize in Physiology or Medicine 1946,"""for the discovery of the production of mutations by means of X-ray irradiation""",1/1,Individual,Hermann Joseph Muller,1890-12-21,"New York, NY",United States of America,United States of America,Male,Indiana University,"Bloomington, IN",United States of America,USA
1946,Peace,The Nobel Peace Prize 1946,NA,1/2,Individual,Emily Greene Balch,1867-01-08,"Jamaica Plain, MA (Boston)",United States of America,United States of America,Female,NA,NA,NA,USA
1946,Peace,The Nobel Peace Prize 1946,NA,1/2,Individual,John Raleigh Mott,1865-05-25,"Livingston Manor, NY",United States of America,United States of America,Male,NA,NA,NA,USA
1946,Physics,The Nobel Prize in Physics 1946,"""for the invention of an apparatus to produce extremely high pressures, and for the discoveries he made therewith in the field of high pressure physics""",1/1,Individual,Percy Williams Bridgman,1882-04-21,"Cambridge, MA",United States of America,United States of America,Male,Harvard University,"Cambridge, MA",United States of America,USA
1947,Chemistry,The Nobel Prize in Chemistry 1947,"""for his investigations on plant products of biological importance, especially the alkaloids""",1/1,Individual,Sir Robert Robinson,1886-09-13,"Rufford, near Chesterfield",United Kingdom,United Kingdom,Male,University of Oxford,Oxford,United Kingdom,GBR
1947,Literature,The Nobel Prize in Literature 1947,"""for his comprehensive and artistically significant writings, in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight""",1/1,Individual,André Paul Guillaume Gide,1869-11-22,Paris,France,France,Male,NA,NA,NA,FRA
1947,Medicine,The Nobel Prize in Physiology or Medicine 1947,"""for his discovery of the part played by the hormone of the anterior pituitary lobe in the metabolism of sugar""",1/2,Individual,Bernardo Alberto Houssay,1887-04-10,Buenos Aires,Argentina,Argentina,Male,Instituto de Biologia y Medicina Experimental (Institute for Biology and Experimental Medicine),Buenos Aires,Argentina,ARG
1947,Medicine,The Nobel Prize in Physiology or Medicine 1947,"""for their discovery of the course of the catalytic conversion of glycogen""",1/4,Individual,Carl Ferdinand Cori,1896-12-05,Prague,Austria-Hungary (Czech Republic),Czech Republic,Male,Washington University,"St. Louis, MO",United States of America,CZE
1947,Medicine,The Nobel Prize in Physiology or Medicine 1947,"""for their discovery of the course of the catalytic conversion of glycogen""",1/4,Individual,"Gerty Theresa Cori, née Radnitz",1896-08-15,Prague,Austria-Hungary (Czech Republic),Czech Republic,Female,Washington University,"St. Louis, MO",United States of America,CZE
1947,Peace,The Nobel Peace Prize 1947,NA,1/2,Organization,American Friends Service Committee (The Quakers),NA,NA,NA,NA,NA,NA,NA,NA,
1947,Peace,The Nobel Peace Prize 1947,NA,1/2,Organization,Friends Service Council (The Quakers),NA,NA,NA,NA,NA,NA,NA,NA,
1947,Physics,The Nobel Prize in Physics 1947,"""for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer""",1/1,Individual,Sir Edward Victor Appleton,1892-09-06,Bradford,United Kingdom,United Kingdom,Male,Department of Scientific and Industrial Research,London,United Kingdom,GBR
1948,Chemistry,The Nobel Prize in Chemistry 1948,"""for his research on electrophoresis and adsorption analysis, especially for his discoveries concerning the complex nature of the serum proteins""",1/1,Individual,Arne Wilhelm Kaurin Tiselius,1902-08-10,Stockholm,Sweden,Sweden,Male,Uppsala University,Uppsala,Sweden,SWE
1948,Literature,The Nobel Prize in Literature 1948,"""for his outstanding, pioneer contribution to present-day poetry""",1/1,Individual,Thomas Stearns Eliot,1888-09-26,"St. Louis, MO",United States of America,United States of America,Male,NA,NA,NA,USA
1948,Medicine,The Nobel Prize in Physiology or Medicine 1948,"""for his discovery of the high efficiency of DDT as a contact poison against several arthropods""",1/1,Individual,Paul Hermann Müller,1899-01-12,Olten,Switzerland,Switzerland,Male,Laboratorium der Farben-Fabriken J.R. Geigy A.G. (Laboratory of the J.R. Geigy Dye-Factory Co.),Basel,Switzerland,CHE
1948,Physics,The Nobel Prize in Physics 1948,"""for his development of the Wilson cloud chamber method, and his discoveries therewith in the fields of nuclear physics and cosmic radiation""",1/1,Individual,Patrick Maynard Stuart Blackett,1897-11-18,London,United Kingdom,United Kingdom,Male,Victoria University,Manchester,United Kingdom,GBR
1949,Chemistry,The Nobel Prize in Chemistry 1949,"""for his contributions in the field of chemical thermodynamics, particularly concerning the behaviour of substances at extremely low temperatures""",1/1,Individual,William Francis Giauque,1895-05-12,Niagara Falls,Canada,Canada,Male,University of California,"Berkeley, CA",United States of America,CAN
1949,Literature,The Nobel Prize in Literature 1949,"""for his powerful and artistically unique contribution to the modern American novel""",1/1,Individual,William Faulkner,1897-09-25,"New Albany, MS",United States of America,United States of America,Male,NA,NA,NA,USA
1949,Medicine,The Nobel Prize in Physiology or Medicine 1949,"""for his discovery of the therapeutic value of leucotomy in certain psychoses""",1/2,Individual,Antonio Caetano de Abreu Freire Egas Moniz,1874-11-29,Avanca,Portugal,Portugal,Male,University of Lisbon,Lisbon,Portugal,PRT
1949,Medicine,The Nobel Prize in Physiology or Medicine 1949,"""for his discovery of the functional organization of the interbrain as a coordinator of the activities of the internal organs""",1/2,Individual,Walter Rudolf Hess,1881-03-17,Frauenfeld,Switzerland,Switzerland,Male,University of Zurich,Zurich,Switzerland,CHE
1949,Peace,The Nobel Peace Prize 1949,NA,1/1,Individual,Lord (John) Boyd Orr of Brechin,1880-09-23,Kilmaurs,Scotland,United Kingdom,Male,NA,NA,NA,GBR
1949,Physics,The Nobel Prize in Physics 1949,"""for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces""",1/1,Individual,Hideki Yukawa,1907-01-23,Tokyo,Japan,Japan,Male,Kyoto University,Kyoto,Japan,JPN
1950,Chemistry,The Nobel Prize in Chemistry 1950,"""for their discovery and development of the diene synthesis""",1/2,Individual,Kurt Alder,1902-07-10,Königshütte (Chorzów),Prussia (Poland),Poland,Male,Cologne University,Cologne,Germany,POL
1950,Chemistry,The Nobel Prize in Chemistry 1950,"""for their discovery and development of the diene synthesis""",1/2,Individual,Otto Paul Hermann Diels,1876-01-23,Hamburg,Germany,Germany,Male,Kiel University,Kiel,Germany,DEU
1950,Literature,The Nobel Prize in Literature 1950,"""in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought""",1/1,Individual,Earl (Bertrand Arthur William) Russell,1872-05-18,Trelleck,United Kingdom,United Kingdom,Male,NA,NA,NA,GBR
1950,Medicine,The Nobel Prize in Physiology or Medicine 1950,"""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects""",1/3,Individual,Edward Calvin Kendall,1886-03-08,"South Norwalk, CT",United States of America,United States of America,Male,Mayo Clinic,"Rochester, MN",United States of America,USA
1950,Medicine,The Nobel Prize in Physiology or Medicine 1950,"""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects""",1/3,Individual,Philip Showalter Hench,1896-02-28,"Pittsburgh, PA",United States of America,United States of America,Male,Mayo Clinic,"Rochester, MN",United States of America,USA
1950,Medicine,The Nobel Prize in Physiology or Medicine 1950,"""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects""",1/3,Individual,Tadeus Reichstein,1897-07-20,Wloclawek,Poland,Poland,Male,Basel University,Basel,Switzerland,POL
1950,Peace,The Nobel Peace Prize 1950,NA,1/1,Individual,Ralph Bunche,1904-08-07,"Detroit, MI",United States of America,United States of America,Male,Harvard University,"Cambridge, MA",United States of America,USA
1950,Physics,The Nobel Prize in Physics 1950,"""for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method""",1/1,Individual,Cecil Frank Powell,1903-12-05,Tonbridge,United Kingdom,United Kingdom,Male,Bristol University,Bristol,United Kingdom,GBR
1951,Chemistry,The Nobel Prize in Chemistry 1951,"""for their discoveries in the chemistry of the transuranium elements""",1/2,Individual,Edwin Mattison McMillan,1907-09-18,"Redondo Beach, CA",United States of America,United States of America,Male,University of California,"Berkeley, CA",United States of America,USA
1951,Chemistry,The Nobel Prize in Chemistry 1951,"""for their discoveries in the chemistry of the transuranium elements""",1/2,Individual,Glenn Theodore Seaborg,1912-04-19,"Ishpeming, MI",United States of America,United States of America,Male,University of California,"Berkeley, CA",United States of America,USA
1951,Literature,The Nobel Prize in Literature 1951,"""for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind""",1/1,Individual,Pär Fabian Lagerkvist,1891-05-23,Växjö,Sweden,Sweden,Male,NA,NA,NA,SWE
1951,Medicine,The Nobel Prize in Physiology or Medicine 1951,"""for his discoveries concerning yellow fever and how to combat it""",1/1,Individual,Max Theiler,1899-01-30,Pretoria,South Africa,South Africa,Male,"Laboratories of the Division of Medicine and Public Health, Rockefeller Foundation","New York, NY",United States of America,ZAF
1951,Peace,The Nobel Peace Prize 1951,NA,1/1,Individual,Léon Jouhaux,1879-07-01,Paris,France,France,Male,NA,NA,NA,FRA
1951,Physics,The Nobel Prize in Physics 1951,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""",1/2,Individual,Ernest Thomas Sinton Walton,1903-10-06,Dungarvan,Ireland,Ireland,Male,Trinity College,Dublin,Ireland,IRL
1951,Physics,The Nobel Prize in Physics 1951,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""",1/2,Individual,Sir John Douglas Cockcroft,1897-05-27,Todmorden,United Kingdom,United Kingdom,Male,Atomic Energy Research Establishment,"Harwell, Berkshire",United Kingdom,GBR
1952,Chemistry,The Nobel Prize in Chemistry 1952,"""for their invention of partition chromatography""",1/2,Individual,Archer John Porter Martin,1910-03-01,London,United Kingdom,United Kingdom,Male,National Institute for Medical Research,London,United Kingdom,GBR
1952,Chemistry,The Nobel Prize in Chemistry 1952,"""for their invention of partition chromatography""",1/2,Individual,Richard Laurence Millington Synge,1914-10-28,Liverpool,United Kingdom,United Kingdom,Male,Rowett Research Institute,Bucksburn (Scotland),United Kingdom,GBR
1952,Literature,The Nobel Prize in Literature 1952,"""for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life""",1/1,Individual,François Mauriac,1885-10-11,Bordeaux,France,France,Male,NA,NA,NA,FRA
1952,Medicine,The Nobel Prize in Physiology or Medicine 1952,"""for his discovery of streptomycin, the first antibiotic effective against tuberculosis""",1/1,Individual,Selman Abraham Waksman,1888-07-22,Priluka (Nova Pryluka),Russian Empire (Ukraine),Ukraine,Male,Rutgers University,"New Brunswick, NJ",United States of America,UKR
1952,Peace,The Nobel Peace Prize 1952,NA,1/1,Individual,Albert Schweitzer,1875-01-14,Kaysersberg,Germany (France),France,Male,NA,NA,NA,FRA
1952,Physics,The Nobel Prize in Physics 1952,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",1/2,Individual,Edward Mills Purcell,1912-08-30,"Taylorville, IL",United States of America,United States of America,Male,Harvard University,"Cambridge, MA",United States of America,USA
1952,Physics,The Nobel Prize in Physics 1952,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",1/2,Individual,Felix Bloch,1905-10-23,Zurich,Switzerland,Switzerland,Male,Stanford University,"Stanford, CA",United States of America,CHE
1953,Chemistry,The Nobel Prize in Chemistry 1953,"""for his discoveries in the field of macromolecular chemistry""",1/1,Individual,Hermann Staudinger,1881-03-23,Worms,Germany,Germany,Male,University of Freiburg,Breisgau,Germany,DEU
1953,Literature,The Nobel Prize in Literature 1953,"""for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values""",1/1,Individual,Sir Winston Leonard Spencer Churchill,1874-11-30,Woodstock,United Kingdom,United Kingdom,Male,NA,NA,NA,GBR
1953,Medicine,The Nobel Prize in Physiology or Medicine 1953,"""for his discovery of co-enzyme A and its importance for intermediary metabolism""",1/2,Individual,Fritz Albert Lipmann,1899-06-12,Koenigsberg (Kaliningrad),Germany (Russia),Russia,Male,Harvard Medical School,"Boston, MA",United States of America,RUS
1953,Medicine,The Nobel Prize in Physiology or Medicine 1953,"""for his discovery of the citric acid cycle""",1/2,Individual,Hans Adolf Krebs,1900-08-25,Hildesheim,Germany,Germany,Male,Sheffield University,Sheffield,United Kingdom,DEU
1953,Peace,The Nobel Peace Prize 1953,NA,1/1,Individual,George Catlett Marshall,1880-12-31,"Uniontown, PA",United States of America,United States of America,Male,NA,NA,NA,USA
1953,Physics,The Nobel Prize in Physics 1953,"""for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope""",1/1,Individual,Frits Zernike,1888-07-16,Amsterdam,Netherlands,Netherlands,Male,Groningen University,Groningen,Netherlands,NLD
1954,Chemistry,The Nobel Prize in Chemistry 1954,"""for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances""",1/1,Individual,Linus Carl Pauling,1901-02-28,"Portland, OR",United States of America,United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,USA
1954,Literature,The Nobel Prize in Literature 1954,"""for his mastery of the art of narrative, most recently demonstrated in <I>The Old Man and the Sea,</I> and for the influence that he has exerted on contemporary style""",1/1,Individual,Ernest Miller Hemingway,1899-07-21,"Oak Park, IL",United States of America,United States of America,Male,NA,NA,NA,USA
1954,Medicine,The Nobel Prize in Physiology or Medicine 1954,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",1/3,Individual,Frederick Chapman Robbins,1916-08-25,"Auburn, AL",United States of America,United States of America,Male,Western Reserve University,"Cleveland, OH",United States of America,USA
1954,Medicine,The Nobel Prize in Physiology or Medicine 1954,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",1/3,Individual,John Franklin Enders,1897-02-10,"West Hartford, CT",United States of America,United States of America,Male,Harvard Medical School,"Boston, MA",United States of America,USA
1954,Medicine,The Nobel Prize in Physiology or Medicine 1954,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",1/3,Individual,Thomas Huckle Weller,1915-06-15,"Ann Arbor, MI",United States of America,United States of America,Male,Children's Medical Center,"Boston, MA",United States of America,USA
1954,Peace,The Nobel Peace Prize 1954,NA,1/1,Organization,Office of the United Nations High Commissioner for Refugees (UNHCR),NA,NA,NA,NA,NA,NA,NA,NA,
1954,Physics,The Nobel Prize in Physics 1954,"""for his fundamental research in quantum mechanics, especially for his statistical interpretation of the wavefunction""",1/2,Individual,Max Born,1882-12-11,Breslau (Wroclaw),Germany (Poland),Poland,Male,Edinburgh University,Edinburgh,United Kingdom,POL
1954,Physics,The Nobel Prize in Physics 1954,"""for the coincidence method and his discoveries made therewith""",1/2,Individual,Walther Bothe,1891-01-08,Oranienburg,Germany,Germany,Male,University of Heidelberg,Heidelberg,Germany,DEU
1955,Chemistry,The Nobel Prize in Chemistry 1955,"""for his work on biochemically important sulphur compounds, especially for the first synthesis of a polypeptide hormone""",1/1,Individual,Vincent du Vigneaud,1901-05-18,"Chicago, IL",United States of America,United States of America,Male,Cornell University,"Ithaca, NY",United States of America,USA
1955,Literature,The Nobel Prize in Literature 1955,"""for his vivid epic power which has renewed the great narrative art of Iceland""",1/1,Individual,Halldór Kiljan Laxness,1902-04-23,Reykjavik,Iceland,Iceland,Male,NA,NA,NA,ISL
1955,Medicine,The Nobel Prize in Physiology or Medicine 1955,"""for his discoveries concerning the nature and mode of action of oxidation enzymes""",1/1,Individual,Axel Hugo Theodor Theorell,1903-07-06,Linköping,Sweden,Sweden,Male,Karolinska Institutet,Stockholm,Sweden,SWE
1955,Physics,The Nobel Prize in Physics 1955,"""for his precision determination of the magnetic moment of the electron""",1/2,Individual,Polykarp Kusch,1911-01-26,Blankenburg,Germany,Germany,Male,Columbia University,"New York, NY",United States of America,DEU
1955,Physics,The Nobel Prize in Physics 1955,"""for his discoveries concerning the fine structure of the hydrogen spectrum""",1/2,Individual,Willis Eugene Lamb,1913-07-12,"Los Angeles, CA",United States of America,United States of America,Male,Stanford University,"Stanford, CA",United States of America,USA
1956,Chemistry,The Nobel Prize in Chemistry 1956,"""for their researches into the mechanism of chemical reactions""",1/2,Individual,Nikolay Nikolaevich Semenov,1896-04-03,Saratov,Russia,Russia,Male,Institute for Chemical Physics of the Academy of Sciences of the USSR,Moscow,Russia,RUS
1956,Chemistry,The Nobel Prize in Chemistry 1956,"""for their researches into the mechanism of chemical reactions""",1/2,Individual,Sir Cyril Norman Hinshelwood,1897-05-19,London,United Kingdom,United Kingdom,Male,University of Oxford,Oxford,United Kingdom,GBR
1956,Literature,The Nobel Prize in Literature 1956,"""for his lyrical poetry, which in Spanish language constitutes an example of high spirit and artistical purity""",1/1,Individual,Juan Ramón Jiménez,1881-12-24,Moguer,Spain,Spain,Male,NA,NA,NA,ESP
1956,Medicine,The Nobel Prize in Physiology or Medicine 1956,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",1/3,Individual,André Frédéric Cournand,1895-09-24,Paris,France,France,Male,Columbia University,"New York, NY",United States of America,FRA
1956,Medicine,The Nobel Prize in Physiology or Medicine 1956,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",1/3,Individual,Dickinson W. Richards,1895-10-30,"Orange, NJ",United States of America,United States of America,Male,Columbia University,"New York, NY",United States of America,USA
1956,Medicine,The Nobel Prize in Physiology or Medicine 1956,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",1/3,Individual,Werner Forssmann,1904-08-29,Berlin,Germany,Germany,Male,Mainz University,Mainz,Germany,DEU
1956,Physics,The Nobel Prize in Physics 1956,"""for their researches on semiconductors and their discovery of the transistor effect""",1/3,Individual,John Bardeen,1908-05-23,"Madison, WI",United States of America,United States of America,Male,University of Illinois,"Urbana, IL",United States of America,USA
1956,Physics,The Nobel Prize in Physics 1956,"""for their researches on semiconductors and their discovery of the transistor effect""",1/3,Individual,Walter Houser Brattain,1902-02-10,Amoy,China,China,Male,Bell Laboratories,"Murray Hill, NJ",United States of America,CHN
1956,Physics,The Nobel Prize in Physics 1956,"""for their researches on semiconductors and their discovery of the transistor effect""",1/3,Individual,William Bradford Shockley,1910-02-13,London,United Kingdom,United Kingdom,Male,"Semiconductor Laboratory of Beckman Instruments, Inc.","Mountain View, CA",United States of America,GBR
1957,Chemistry,The Nobel Prize in Chemistry 1957,"""for his work on nucleotides and nucleotide co-enzymes""",1/1,Individual,Lord (Alexander R.) Todd,1907-10-02,Glasgow,Scotland,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,GBR
1957,Literature,The Nobel Prize in Literature 1957,"""for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times""",1/1,Individual,Albert Camus,1913-11-07,Mondovi,French Algeria (Algeria),Algeria,Male,NA,NA,NA,DZA
1957,Medicine,The Nobel Prize in Physiology or Medicine 1957,"""for his discoveries relating to synthetic compounds that inhibit the action of certain body substances, and especially their action on the vascular system and the skeletal muscles""",1/1,Individual,Daniel Bovet,1907-03-23,Neuchâtel,Switzerland,Switzerland,Male,Istituto Superiore di Sanità (Chief Institute of Public Health),Rome,Italy,CHE
1957,Peace,The Nobel Peace Prize 1957,NA,1/1,Individual,Lester Bowles Pearson,1897-04-23,Toronto,Canada,Canada,Male,NA,NA,NA,CAN
1957,Physics,The Nobel Prize in Physics 1957,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""",1/2,Individual,Chen Ning Yang,1922-09-22,"Hofei, Anhwei",China,China,Male,Institute for Advanced Study,"Princeton, NJ",United States of America,CHN
1957,Physics,The Nobel Prize in Physics 1957,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""",1/2,Individual,Tsung-Dao (T.D.) Lee,1926-11-24,Shanghai,China,China,Male,Columbia University,"New York, NY",United States of America,CHN
1958,Chemistry,The Nobel Prize in Chemistry 1958,"""for his work on the structure of proteins, especially that of insulin""",1/1,Individual,Frederick Sanger,1918-08-13,Rendcombe,United Kingdom,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,GBR
1958,Literature,The Nobel Prize in Literature 1958,"""for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition""",1/1,Individual,Boris Leonidovich Pasternak,1890-02-10,Moscow,Russia,Russia,Male,NA,NA,NA,RUS
1958,Medicine,The Nobel Prize in Physiology or Medicine 1958,"""for their discovery that genes act by regulating definite chemical events""",1/4,Individual,Edward Lawrie Tatum,1909-12-14,"Boulder, CO",United States of America,United States of America,Male,Rockefeller Institute for Medical Research,"New York, NY",United States of America,USA
1958,Medicine,The Nobel Prize in Physiology or Medicine 1958,"""for their discovery that genes act by regulating definite chemical events""",1/4,Individual,George Wells Beadle,1903-10-22,"Wahoo, NE",United States of America,United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,USA
1958,Medicine,The Nobel Prize in Physiology or Medicine 1958,"""for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria""",1/2,Individual,Joshua Lederberg,1925-05-23,"Montclair, NJ",United States of America,United States of America,Male,University of Wisconsin,"Madison, WI",United States of America,USA
1958,Peace,The Nobel Peace Prize 1958,NA,1/1,Individual,Georges Pire,1910-02-10,Dinant,Belgium,Belgium,Male,NA,NA,NA,BEL
1958,Physics,The Nobel Prize in Physics 1958,"""for the discovery and the interpretation of the Cherenkov effect""",1/3,Individual,Igor Yevgenyevich Tamm,1895-07-08,Vladivostok,Russia,Russia,Male,University of Moscow,Moscow,Russia,RUS
1958,Physics,The Nobel Prize in Physics 1958,"""for the discovery and the interpretation of the Cherenkov effect""",1/3,Individual,Il´ja Mikhailovich Frank,1908-10-23,Leningrad (Saint Petersburg),Russia,Russia,Male,University of Moscow,Moscow,Russia,RUS
1958,Physics,The Nobel Prize in Physics 1958,"""for the discovery and the interpretation of the Cherenkov effect""",1/3,Individual,Pavel Alekseyevich Cherenkov,1904-07-28,Novaya Chigla,Russia,Russia,Male,P.N. Lebedev Physical Institute,Moscow,Russia,RUS
1959,Chemistry,The Nobel Prize in Chemistry 1959,"""for his discovery and development of the polarographic methods of analysis""",1/1,Individual,Jaroslav Heyrovsky,1890-12-20,Prague,Austria-Hungary (Czech Republic),Czech Republic,Male,Polarographic Institute of the Czechoslovak Academy of Science,Prague,Czech Republic,CZE
1959,Literature,The Nobel Prize in Literature 1959,"""for his lyrical poetry, which with classical fire expresses the tragic experience of life in our own times""",1/1,Individual,Salvatore Quasimodo,1901-08-20,Modica,Italy,Italy,Male,NA,NA,NA,ITA
1959,Medicine,The Nobel Prize in Physiology or Medicine 1959,"""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid""",1/2,Individual,Arthur Kornberg,1918-03-03,"Brooklyn, NY",United States of America,United States of America,Male,Stanford University,"Stanford, CA",United States of America,USA
1959,Medicine,The Nobel Prize in Physiology or Medicine 1959,"""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid""",1/2,Individual,Severo Ochoa,1905-09-24,Luarca,Spain,Spain,Male,New York University,"New York, NY",United States of America,ESP
1959,Peace,The Nobel Peace Prize 1959,NA,1/1,Individual,Philip J. Noel-Baker,1889-11-01,London,United Kingdom,United Kingdom,Male,NA,NA,NA,GBR
1959,Physics,The Nobel Prize in Physics 1959,"""for their discovery of the antiproton""",1/2,Individual,Emilio Gino Segrè,1905-02-01,Tivoli,Italy,Italy,Male,University of California,"Berkeley, CA",United States of America,ITA
1959,Physics,The Nobel Prize in Physics 1959,"""for their discovery of the antiproton""",1/2,Individual,Owen Chamberlain,1920-07-10,"San Francisco, CA",United States of America,United States of America,Male,University of California,"Berkeley, CA",United States of America,USA
