Description,Price Was,Price,Percent Off,Rating,Review Count,URL
"Philips 325E8 32'' IPS LCD, QHD 2560x1440 Pixels, 1.07 Billion Colors, 75Hz, AMD FreeSync, LowBlue Mode, HDMI/DisplayPort/DVI/VGA, VESA, 4 Year Advance Replacement Warranty",,$298.00,0%,3.9 out of 5 stars,11,https://www.amazon.ca/325E8-2560x1440-FreeSync-DisplayPort-Replacement/dp/B09CLPGS4D/ref=sr_1_85?keywords=4k+monitor&qid=1654371671&sr=8-85
"ViewSonic Elite XG321UG 32 Inch 4K IPS 144Hz Gaming Monitor with G-Sync, Mini LED, Nvidia Reflex, HDR1400, Advanced Ergonomics, HDMI and DP for Esports, Black",,"$3,357.63",0%,4.5 out of 5 stars,2,https://www.amazon.ca/ViewSonic-XG321UG-Monitor-Advanced-Ergonomics/dp/B094RG7GYR/ref=sr_1_86?keywords=4k+monitor&qid=1654371671&sr=8-86
"LG 27GN95R-B 27 Inch Ultragear (3840 x 2160) Gaming Monitor with Nano IPS 1ms 160Hz Display, AMD FreeSync™ Premium Pro, USB A to B, Black",,"$1,099.99",0%,No reviews,0,https://www.amazon.ca/LG-27GN95R-B-Ultragear-Monitor-FreeSyncTM/dp/B0B275RG14/ref=sr_1_88?keywords=4k+monitor&qid=1654371671&sr=8-88
"4K Portable Monitor, AYY 400 cd/m² Ultra Bright OTG USB-C/HDMI Computer Display, 3840x2160P FHD IPS Computer Monitor, Gaming Monitor for Laptop PC MAC Phone PS4 Xbox Switch(with Bracket| Plug&Play)……",,$242.99,0%,4.2 out of 5 stars,76,https://www.amazon.ca/Portable-Monitor-AYY-Computer-3840x2160P/dp/B09JFTGJKL/ref=sr_1_89?keywords=4k+monitor&qid=1654371671&sr=8-89
"LG 27UP850N-W 27 Inch UHD (3840 x 2160) 4K Monitor with IPS 5ms 60Hz Display, AMD FreeSync, USB Type C, White",,$649.99,0%,No reviews,0,https://www.amazon.ca/LG-27UP850N-W-Monitor-Display-FreeSync/dp/B0B195FXTD/ref=sr_1_90?keywords=4k+monitor&qid=1654371671&sr=8-90
"Portable Monitor,15 inch Full HD 1080P sRGB USB-C Laptop Monitor HDMI Computer Display HDR IPS Gaming Monitor w/Premium Smart Cover & Speakers, for Laptop PC MAC Phone PS4 Xbox",,$259.99,0%,4.3 out of 5 stars,17,https://www.amazon.ca/Portable-Monitor-Computer-Display-Speakers/dp/B09H6ZVFMB/ref=sr_1_91?keywords=4k+monitor&qid=1654371671&sr=8-91
"ASUS ROG Swift PG32UQ 32” 4K HDR 144Hz DSC HDMI 2.1 Gaming Monitor, UHD (3840 x 2160), IPS, 1ms, G-SYNC Compatible, Extreme Low Motion Blur Sync, Eye Care, DisplayPort, USB, DisplayHDR 600",,"$1,399.00",0%,2.5 out of 5 stars,117,https://www.amazon.ca/PG32UQ-Monitor-Compatible-DisplayPort-DisplayHDR/dp/B09GP87QKN/ref=sr_1_92?keywords=4k+monitor&qid=1654371671&sr=8-92
"Sceptre Curved 30"" 21:9 Gaming LED Monitor 2560x1080p UltraWide Ultra Slim HDMI DisplayPort Up to 85Hz MPRT 1ms FPS-RTS Build-in Speakers, Machine Black (C305W-2560UN)",,$380.57,0%,4.5 out of 5 stars,"3,680",https://www.amazon.ca/Sceptre-30-Inch-C305W-2560UN-DisplayPort-Build/dp/B07XZNXWGS/ref=sr_1_93?keywords=4k+monitor&qid=1654371671&sr=8-93
"AOC CU32V3 32"" Super-Curved 4K UHD Monitor, 1500R Curved VA, 4ms, 121% sRGB Coverage / 90% DCI-P3, HDMI 2.0/DisplayPort, VESA, Black",,$527.99,0%,4.5 out of 5 stars,838,https://www.amazon.ca/AOC-CU32V3-Super-Curved-Coverage-DisplayPort/dp/B083TDZJD7/ref=sr_1_94?keywords=4k+monitor&qid=1654371671&sr=8-94
"Dell S2721QS 27 Inch 4K UHD (3840 x 2160) IPS Ultra-Thin Bezel Monitor, AMD FreeSync (HDMI, DisplayPort), VESA Certified, Silver",,$588.54,0%,4.4 out of 5 stars,589,https://www.amazon.ca/Dell-S2721QS-Marketing/dp/B08DQWG3JG/ref=sr_1_95?keywords=4k+monitor&qid=1654371671&sr=8-95
"BenQ SW271C 27” 4K Photo & Video Editing Monitor | 4K UHD | IPS | 99% Adobe RGB, 100% sRGB/Rec. 709, 90% DCI-P3/Display P3 | AQCOLOR Tech | Hardware Calibration |10 bit color depth | HDR10/HLG | USB-C",,"$1,999.98",0%,5.0 out of 5 stars,17,https://www.amazon.ca/BenQ-SW271C-Editing-Hardware-Calibration/dp/B0911822LZ/ref=sr_1_96?keywords=4k+monitor&qid=1654371671&sr=8-96
"Portable Monitor 17.3 inch, MOTYEOWE 1080P FHD IPS Narrow Bezel Computer Display, USB C HDMI External Large Gaming Monitor Compatible with Laptop PC Mac Phone PS5 Surface and Switch",,$339.99,0%,No reviews,0,https://www.amazon.ca/Portable-MOTYEOWE-Computer-External-Compatible/dp/B09V7WQR41/ref=sr_1_98?keywords=4k+monitor&qid=1654371671&sr=8-98
"Dell S2722QC 27-inch 4K USB-C Monitor - UHD (3840 x 2160) Display, 60Hz Refresh Rate, 8MS Grey-to-Grey Response Time (Normal Mode), Built-in Dual 3W Speakers, 1.07 Billion Colors - Platinum Silver",,$829.00,0%,4.3 out of 5 stars,253,https://www.amazon.ca/Dell-S2722QC-Response-Integrated-Speakers/dp/B09DTDRJWP/ref=sr_1_99?keywords=4k+monitor&qid=1654371671&sr=8-99
"Dell UltraSharp 27"" 16:9 4K IPS LED Monitor [U2723QE]",,"$1,100.00",0%,3.8 out of 5 stars,8,https://www.amazon.ca/Dell-UltraSharp-27-16-Monitor/dp/B09RSTWVTP/ref=sr_1_100?keywords=4k+monitor&qid=1654371671&sr=8-100
"Acer 27"" HDR 4K 144Hz FreeSync2 GSYNC Compatible, XV273K PBMIIPPHZX","$1,199.99",$758.98,-36.75%,4.3 out of 5 stars,"2,406",https://www.amazon.ca/Acer-Canada-UM-HX3AA-P02-27-Inch-14700510/dp/B07MQBDY91/ref=sr_1_101?keywords=4k+monitor&qid=1654371671&sr=8-101
"LG UltraWide 29WP500-B 29 Inch Full HD 5ms 75Hz Monitor with IPS Display and AMD FreeSync, Black",$299.99,$279.89,-6.7%,4.7 out of 5 stars,49,https://www.amazon.ca/LG-29WP500-B-UltraWide-Monitor-FreeSync/dp/B092RBXXPT/ref=sr_1_102?keywords=4k+monitor&qid=1654371671&sr=8-102
"Philips Computer Monitor 27"" 3840 x 2160 (279P1)",,$562.99,0%,4.3 out of 5 stars,77,https://www.amazon.ca/Philips-Computer-Monitor-3840-279P1/dp/B08KFLY9DQ/ref=sr_1_103?keywords=4k+monitor&qid=1654371671&sr=8-103
"INNOCN 27"" Computer Monitor 4K UHD 3840 x 2160 16:9 LCD IPS Display, 100% sRGB DP USB C HDMI PC Monitor HDR400 FreeSync, 1.07B+ Colors, Gravity Sensor, Calibrated Colors Accuracy ∆E＜2, VESA - 27C1U",,$479.99,0%,4.3 out of 5 stars,58,https://www.amazon.ca/INNOCN-Computer-Monitor-3840-2160/dp/B09JS74MGY/ref=sr_1_104?keywords=4k+monitor&qid=1654371671&sr=8-104
"ViewSonic XG2431 24 Inch 1080p 240Hz 1ms Gaming Monitor with AMD FreeSync Premium, Advanced Ergonomics, Eye Care, HDMI and DisplayPort for Esports",$404.99,$349.89,-13.61%,4.4 out of 5 stars,"2,297",https://www.amazon.ca/ViewSonic-XG2431-FreeSync-Ergonomics-DisplayPort/dp/B097S9SYM5/ref=sr_1_101?keywords=4k+monitor&qid=1654371673&sr=8-101
"LG 34WK95U-W 34&quot;UltraWide 5K Nano IPS LED Monitor with Built-In Speakers, 5120x2160",,"$1,899.99",0%,3.9 out of 5 stars,84,https://www.amazon.ca/34-21-UltraWide-5K-Nano/dp/B07FT8ZBMR/ref=sr_1_102?keywords=4k+monitor&qid=1654371673&sr=8-102
"Samsung Monitor T55 32 Inch |32"" Curved Monitor (LC32T550FDNXZA) - Curved, 1000R, 1080P, 4ms, AMD Freesync, HDMI, DP",,$379.99,0%,4.6 out of 5 stars,"4,942",https://www.amazon.ca/Samsung-Monitor-Inch-Curved-LC32T550FDNXZA/dp/B086VR4QR4/ref=sr_1_103?keywords=4k+monitor&qid=1654371673&sr=8-103
"OLED Portable Monitor - C-FORCE CF015 Next 15.6"" OLED 4K/UHD 3840x2160 Computer Display - for Photo Editing with 4K, 100% DCI-P3, 100000:1, USB Type-C External Monitor for Laptop,PC,Xbox,PS5,Switch",,$899.99,0%,4.9 out of 5 stars,10,https://www.amazon.ca/OLED-Portable-Monitor-3840x2160-Computer/dp/B09NPJ8YM1/ref=sr_1_104?keywords=4k+monitor&qid=1654371673&sr=8-104
"Cooler Master GM34-CW2 34” Ultra-WQHD QLED 3440x1440 Frameless Curved PC Gaming Monitor, 144Hz (Overclock to 165Hz AUO), Curve 1500R, AMD FreeSync2, Black, CMI-GM34-CW2-US",,$671.26,0%,No reviews,0,https://www.amazon.ca/Cooler-Master-Ultra-WQHD-3440x1440-CMI-GM34-CW2-US/dp/B09TLDTLLT/ref=sr_1_105?keywords=4k+monitor&qid=1654371673&sr=8-105
"LG UltraGear 34GP950G-B 34 Inch 21:9 QHD Curved Nano IPS Gaming Monitor 1ms 144Hz (Overclock 180Hz) NVIDIA G-SYNC, Ultimate Black","$1,649.99","$1,249.99",-24.24%,4.2 out of 5 stars,45,https://www.amazon.ca/LG-UltraGear-34GP950G-B-Inch-Overclock/dp/B097QF8CP3/ref=sr_1_106?keywords=4k+monitor&qid=1654371673&sr=8-106
"LG UltraWide 34WL750-B 34 Inch 21:9 WQHD 5ms 60Hz IPS 3-Side Virtually Borderless Monitor, AMD FreeSync, Black",,$729.99,0%,4.8 out of 5 stars,34,https://www.amazon.ca/LG-UltraWide-34WL75C-B-Curved-Borderless/dp/B07YNX7RQJ/ref=sr_1_107?keywords=4k+monitor&qid=1654371673&sr=8-107
"BenQ 24 inch Hassle-Free Color Accuracy Photography Monitor, Professional, 1920x1200, IPS, 99% Adobe RGB, Hardware - SW240",,$449.99,0%,4.4 out of 5 stars,790,https://www.amazon.ca/BenQ-Accuracy-Photography-Professional-1920x1200/dp/B07CCQGFFG/ref=sr_1_108?keywords=4k+monitor&qid=1654371673&sr=8-108
"LG 24MK600M-B 24'' Full HD (1920 x 1080) IPS Display with 3-Side Virtually Borderless Design and Radeon FreeSync Technology and Dual HDMI, Black",,$208.98,0%,4.6 out of 5 stars,755,https://www.amazon.ca/LG-24MK600M-B-Monitor-Radeon-FreeSync/dp/B07JGL19WK/ref=sr_1_109?keywords=4k+monitor&qid=1654371673&sr=8-109
"ViewSonic Elite XG320Q 32 Inch 1440p 0.5ms 175Hz Gaming Monitor with GSYNC Compatible, HDR600, 99% AdobeRGB, HDMI, DisplayPort and Advanced Ergonomics for Esports",$912.83,$866.68,-5.06%,4.5 out of 5 stars,153,https://www.amazon.ca/ViewSonic-XG320Q-Compatible-DisplayPort-Ergonomics/dp/B094RJ5ZT2/ref=sr_1_110?keywords=4k+monitor&qid=1654371673&sr=8-110
"SAMSUNG Odyssey G55A Series 32-Inch WQHD (2560x1440) Curved Gaming Monitor, 165Hz, 1ms, HDMI, DisplayPort, FreeSync, HDR10 (LS32AG550ENXZA), Black",,$549.99,0%,4.3 out of 5 stars,9,https://www.amazon.ca/SAMSUNG-2560x1440-DisplayPort-FreeSync-LS32AG550ENXZA/dp/B09TMJ9LGR/ref=sr_1_111?keywords=4k+monitor&qid=1654371673&sr=8-111
"BenQ ZOWIE XL2746K 27"" Gaming Monitor 240Hz | DyAc+ | Color Vibrance | Black eQualizer for Competitive Edge | Enhanced Height, Tilt and Base Adjustment | XL Setting to Share | S-Switch | Shield | VESA",$799.99,$749.98,-6.25%,4.0 out of 5 stars,10,https://www.amazon.ca/BenQ-Zowie-XL2746K-Gaming-Monitor/dp/B096N3W6QG/ref=sr_1_112?keywords=4k+monitor&qid=1654371673&sr=8-112
"Asus TUF Gaming VG32VQ 31.5"" 16:9 Curved 144 Hz HDR Adaptive-Sync LCD Gaming Monitor",$488.99,$459.98,-5.93%,4.6 out of 5 stars,825,https://www.amazon.ca/Asus-Gaming-VG32VQ-31-5-Adaptive-Sync/dp/B07VFKSGRW/ref=sr_1_113?keywords=4k+monitor&qid=1654371673&sr=8-113
"HP 27 inch 4k IPS LED 4K UHD FreeSync Monitor | Wireless, U27, Natural Silver",,$378.10,0%,4.7 out of 5 stars,6,https://www.amazon.ca/HP-FreeSync-Monitor-Wireless-Natural/dp/B08G5T6PXV/ref=sr_1_114?keywords=4k+monitor&qid=1654371673&sr=8-114
"Planar Helium PCT2235 Touch Screen 22"" LED LCD Full HD Resolution Monitor with Helium Stand,Black",,$399.70,0%,4.4 out of 5 stars,744,https://www.amazon.ca/Planar-Helium-PCT2235-Resolution-Monitor/dp/B01E06JSI4/ref=sr_1_115?keywords=4k+monitor&qid=1654371673&sr=8-115
"LG 27UP600-W 27"" 4K UHD IPS Monitor, DCI-P3 95%, 5ms (GTG), HDMI, VESA DisplayHDR 400, AMD FreeSync, Black Stabilizer, OnScreen Control, Reader Mode, White",,$500.00,0%,5.0 out of 5 stars,4,https://www.amazon.ca/LG-27UP600-W-DisplayHDR-FreeSync-Stabilizer/dp/B09S1YR46Y/ref=sr_1_116?keywords=4k+monitor&qid=1654371673&sr=8-116
"Acer Nitro 28"" Gaming Monitor, HDMI 2.1, 4K, 3840x2160 @ 144Hz, 1MS, Speakers,XV282K Kvbmiipruzx (Renewed)",$899.00,$849.00,-5.56%,5.0 out of 5 stars,2,https://www.amazon.ca/Acer-Monitor-3840x2160-Speakers-Kvbmiipruzx/dp/B09BG11FY2/ref=sr_1_121?keywords=4k+monitor&qid=1654371673&sr=8-121
ASUS ROG Strix XG248Q 23.8” Full HD 1080p 240Hz 1ms Eye Care G-SYNC Compatible FreeSync Esports Gaming Monitor with DP Dual HDMI,$467.66,$355.87,-23.9%,4.5 out of 5 stars,270,https://www.amazon.ca/XG248Q-FreeSync-Esports-Gaming-Monitor/dp/B07GR9VXBF/ref=sr_1_122?keywords=4k+monitor&qid=1654371673&sr=8-122
"PTVDISPLAY Portable Monitor, 15.6 inch IPS 1080P Laptop Screen Extender, Travel Gaming External Monitor with Smart/Speakers for Laptop PC Phones and Gaming Mac Xbox PS4 Switch. (Black, 15.6 inch)",$309.00,$252.00,-18.45%,4.0 out of 5 stars,74,https://www.amazon.ca/PTVDISPLAY-Portable-Extender-External-Speakers/dp/B09BJX5CDR/ref=sr_1_123?keywords=4k+monitor&qid=1654371673&sr=8-123
Pixio PX243 24 inch 165Hz (144Hz Supported) 1ms MPRT VA FHD 1080p AMD Radeon FreeSync Esports Gaming Monitor,,$199.99,0%,4.2 out of 5 stars,48,https://www.amazon.ca/PX243-Supported-FreeSync-Esports-Monitor/dp/B09QW2G35J/ref=sr_1_124?keywords=4k+monitor&qid=1654371673&sr=8-124
"ASUS ROG Swift 32” 4K HDR 144Hz DSC Gaming Monitor (PG32UQX) - UHD (3840 x 2160), Mini-LED IPS, G-SYNC Ultimate, Local dimming, Quantum Dot Technology, DisplayHDR 1400, Eye Care, DisplayPort, HDMI",,"$3,999.99",0%,4.3 out of 5 stars,230,https://www.amazon.ca/Swift-144Hz-Gaming-Monitor-PG32UQX/dp/B09568W9GS/ref=sr_1_126?keywords=4k+monitor&qid=1654371673&sr=8-126
ASUS TUF Gaming VG27AQ 27” G-SYNC Gaming Monitor 165Hz 1440p 1ms IPS Eye Care DP HDM,$454.81,$409.99,-9.85%,4.5 out of 5 stars,"16,521",https://www.amazon.ca/Gaming-VG27AQ-G-SYNC-Monitor-155Hz/dp/B07WQ4FXY9/ref=sr_1_127?keywords=4k+monitor&qid=1654371673&sr=8-127
"LG Ultragear 27GL83A-B 27 inch 16:9 QHD IPS 144Hz 1ms NVIDIA G-SYNC Compatible Gaming Monitor, Black",,$499.99,0%,4.6 out of 5 stars,"10,798",https://www.amazon.ca/LG-27GL83A-B-27-Inch-Led-Lit-14700510/dp/B07YGZL8XF/ref=sr_1_128?keywords=4k+monitor&qid=1654371673&sr=8-128
"Cooler Master GP27-FUS 27'' 4K WUHD 3840x2160 QD Tech IPS PC Gaming Monitor, HDR1000, FreeSync/G-Sync, 160Hz. 1ms (MPRT)/2ms (GTG), 98percent DCI-P3, Tilt & Swivel Adjustment, Black, CMI-GP27-FUS-US",,"$1,405.02",0%,No reviews,0,https://www.amazon.ca/Cooler-Master-GP27-FUS-27-3840x2160-QD-CMI-GP27-FUS-US/dp/B09Z6HV9LF/ref=sr_1_130?keywords=4k+monitor&qid=1654371673&sr=8-130
"ASUS ROG Swift 27” 1440P Gaming Monitor (PG279QM) - WQHD (2560 x 1440), Fast IPS, 240Hz, 1ms, G-SYNC, NVIDIA Reflex Latency Analyzer, DisplayHDR400, Eye Care, HDMI, DisplayPort, USB, Height Adjustable","$1,149.99",$999.99,-13.04%,4.5 out of 5 stars,88,https://www.amazon.ca/Asus-PG279QM/dp/B08LCNWQWL/ref=sr_1_131?keywords=4k+monitor&qid=1654371673&sr=8-131
MSI Full WQHD Anti-Glare 1ms 2560 x 1440 165Hz Refresh Rate HDR Ready USB/DP/HDMI 31.5” Monitor (Optix MAG321QR),,$540.17,0%,4.0 out of 5 stars,11,https://www.amazon.ca/MSI-Anti-Glare-Refresh-Optix-MAG321QR/dp/B09GWDQK2N/ref=sr_1_132?keywords=4k+monitor&qid=1654371673&sr=8-132
Philips P-line 329P1H LED Monitor 4K 32 inch,,$801.32,0%,No reviews,0,https://www.amazon.ca/Philips-P-line-329P1H-Monitor-inch/dp/B0B12HM2G3/ref=sr_1_133?keywords=4k+monitor&qid=1654371673&sr=8-133
"HUAWEI MateView GT 34'' Ultrawide Curved Gaming Monitor, 165Hz, 21:9 WQHD 3440 x 1440, 3K+, 1500R, Dual 5W Speaker SoundBar, Touch Volume Control, 360° Dual Mics, USB-C, HDMI, DP, Black",$748.99,$678.99,-9.35%,4.4 out of 5 stars,45,https://www.amazon.ca/HUAWEI-MateView-Ultrawide-Curved-Monitor/dp/B09PQ75LYY/ref=sr_1_134?keywords=4k+monitor&qid=1654371673&sr=8-134
"Sceptre Technologies, Inc 4K IPS 27"" 3840 x 2160 UHD Monitor up to 70Hz DisplayPort HDMI 99% sRGB Build-in Speakers, Black 2021 (U275W-UPT)",,$410.64,0%,4.4 out of 5 stars,92,https://www.amazon.ca/Sceptre-Technologies-Inc-DisplayPort-U275W-UPT/dp/B098HQ8YRX/ref=sr_1_136?keywords=4k+monitor&qid=1654371673&sr=8-136
"HP V28 4K Computer Monitor 28"" Diagonal Display 3840 x 2160 at 60 Hz, and 1ms Response Time AMD Freesync Technology Dual HDMI and DisplayPort Low Blue Light - 8WH57AA#ABA (Renewed)",,$329.05,0%,4.4 out of 5 stars,2,https://www.amazon.ca/HP-Computer-Diagonal-Technology-DisplayPort/dp/B08MXQ4NJ9/ref=sr_1_137?keywords=4k+monitor&qid=1654371673&sr=8-137
"4.3inch HDMI LCD 800x480 IPS Capacitive Touch Screen HDMI Interface Support All Version Raspberry Pi 4B/3B+/3B/2B/Zero/Zero W/Zero WH,Jetson Nano BB Black Banana Pi Windows 10/8.1/8/7",,$64.99,0%,4.0 out of 5 stars,59,https://www.amazon.ca/4-3inch-HDMI-LCD-IPS-Capacitive/dp/B0852NW9FM/ref=sr_1_139?keywords=4k+monitor&qid=1654371673&sr=8-139
"BenQ PD3220U 32 inch 4K UHD IPS Monitor | HDR | AQCOLOR for Color Accuracy | Custom Modes | eye-care Tech | Thunderbolt 3, Grey",,"$1,499.99",0%,4.3 out of 5 stars,222,https://www.amazon.ca/BenQ-32-Inch-Professional-Monitor/dp/B07N4PSVWJ/ref=sr_1_140?keywords=4k+monitor&qid=1654371673&sr=8-140
4K 15.6 Inch UHD Portable Monitor Touchscreen 3840x2160 Auto-Rotating HDR FreeSync USB-C Display with Kickstand Dual Type-C Mini HDMI for PS4 PS5 Xbox Switch Smart Phone Laptop PC,,$584.06,0%,5.0 out of 5 stars,7,https://www.amazon.ca/Portable-Touchscreen-3840x2160-Auto-Rotating-Kickstand/dp/B0936H66MT/ref=sr_1_141?keywords=4k+monitor&qid=1654371673&sr=8-141
"Dell UltraSharp 23.8-inch FHD Infinity Edge Monitor - U2422H, 1920x1080 16:9 with Response time of 8ms, 16.7 Million Colors, Color Gamut 100% sRGB, Tilt, Swivel, Pivot, Height Adjustable",,$457.85,0%,4.2 out of 5 stars,19,https://www.amazon.ca/Dell-UltraSharp-23-8-inch-Infinity-Monitor/dp/B0929QYCQ7/ref=sr_1_142?keywords=4k+monitor&qid=1654371673&sr=8-142
"LILLIPUT 10.1"" FA1016/C IPS FHD 1000:1 HDMI/VGA Supports 4K 30Hz Glass+Glass Technology Monitor (FA1016/C)",,$330.00,0%,No reviews,0,https://www.amazon.ca/LILLIPUT-10-1-FA1016-IPS-1000/dp/B09KMWCWKQ/ref=sr_1_143?keywords=4k+monitor&qid=1654371673&sr=8-143
"BenQ PD3420Q 34” 21:9 Monitor, Video Editing and Graphic Design, WQHD, HDR, P3",,$999.90,0%,4.4 out of 5 stars,19,https://www.amazon.ca/BenQ-PD3420Q-34-21-Monitor/dp/B08655R9L3/ref=sr_1_144?keywords=4k+monitor&qid=1654371673&sr=8-144
"LG 32QN600-B 32-Inch QHD (2560 x 1440) IPS Monitor with HDR 10, AMD FreeSync with Dual HDMI Inputs, Black (Renewed)",$631.06,$349.91,-44.55%,4.3 out of 5 stars,27,https://www.amazon.ca/LG-32QN600-B-32-Inch-Monitor-FreeSync/dp/B08JPDYVN5/ref=sr_1_145?keywords=4k+monitor&qid=1654371673&sr=8-145
"AOC Q32V3S 32"" 2560x1440 2K QHD Monitor, VA Panel, 75Hz Refresh Rate for Casual Gaming, 103% sRGB Coverage, VESA, HDMI/DP Ports Black",,$322.99,0%,4.8 out of 5 stars,68,https://www.amazon.ca/AOC-Q32V3S-2560x1440-Monitor-Coverage/dp/B099P386QD/ref=sr_1_146?keywords=4k+monitor&qid=1654371673&sr=8-146
BenQ GW2283 Eye Care 22 inch IPS 1080p Monitor | Optimized for Home & Office with Adaptive Brightness Technology,$189.98,$164.98,-13.16%,4.7 out of 5 stars,"13,829",https://www.amazon.ca/BenQ-GW2283-Optimized-Brightness-Technology/dp/B07N5MG9LP/ref=sr_1_147?keywords=4k+monitor&qid=1654371673&sr=8-147
"ZSCMALLS Portable Monitor 15.6 Inch Full HD Computer Display USB C Dual Monitor with Speaker, Gaming Monitor for PS3 PS4 Xbox Raspberry pi（Cover Icluded）",,$239.99,0%,4.2 out of 5 stars,22,https://www.amazon.ca/ZSCMALLS-Portable-Computer-Raspberry-pi%EF%BC%88Cover/dp/B08JCLQCGW/ref=sr_1_148?keywords=4k+monitor&qid=1654371673&sr=8-148
"SAMSUNG 32 Inch 4K UHD Monitor, Computer Monitor, Vertical Monitor, HDMI Monitor, USB Port, HDR10 (1 Billion Colors), TUV-Certified Intelligent Eye Care, S80A (LS32A804NMNXGO)",,$550.11,0%,3.9 out of 5 stars,43,https://www.amazon.ca/Samsung-Business-3840x2160-DisplayPort-S32A804NMN/dp/B08X6KFMRL/ref=sr_1_149?keywords=4k+monitor&qid=1654371673&sr=8-149
"ASUS 29” 1080P Ultrawide HDR Monitor (VP299CL) - 21:9 (2560 x 1080), IPS, 75Hz, 1ms, USB-C w/ 15W Power Delivery, FreeSync, Eye Care Plus, HDR-10, VESA Mountable, HDMI, DisplayPort, Height Adjustable",,$349.99,0%,4.5 out of 5 stars,21,https://www.amazon.ca/ASUS-1080P-Ultrawide-Monitor-VP299CL/dp/B09FNTYQ3Q/ref=sr_1_150?keywords=4k+monitor&qid=1654371673&sr=8-150
"LG UltraWide 38WN75C-B 38'' Class 21:9 UltraWide QHD+ HDR IPS Curved Monitor, Black",,"$1,321.22",0%,4.5 out of 5 stars,361,https://www.amazon.ca/LG-UltraWide-38WN75C-B-38-Class/dp/B087YZG5YS/ref=sr_1_151?keywords=4k+monitor&qid=1654371673&sr=8-151
"Dell 32 Monitor - P3222QE - 4K Resolution, IPS Technology USB-C Hub Monitor",,"$1,017.23",0%,4.1 out of 5 stars,11,https://www.amazon.ca/Dell-32-Monitor-Resolution-Technology/dp/B0971ML5MD/ref=sr_1_152?keywords=4k+monitor&qid=1654371673&sr=8-152
"LG UltraWide 38WN75C-B 38'' Class 21:9 UltraWide QHD+ HDR IPS Curved Monitor, Black",,"$1,321.22",0%,4.5 out of 5 stars,361,https://www.amazon.ca/LG-UltraWide-38WN75C-B-38-Class/dp/B087YZG5YS/ref=sr_1_149?keywords=4k+monitor&qid=1654371674&sr=8-149
"Dell 32 Monitor - P3222QE - 4K Resolution, IPS Technology USB-C Hub Monitor",,"$1,017.23",0%,4.1 out of 5 stars,11,https://www.amazon.ca/Dell-32-Monitor-Resolution-Technology/dp/B0971ML5MD/ref=sr_1_150?keywords=4k+monitor&qid=1654371674&sr=8-150
"ViewSonic VX4381-4K 43 Inch Ultra HD MVA 4K Monitor Frameless Widescreen with HDR10 Support, Eye Care, HDMI, USB, DisplayPort for Home and Office",,$964.77,0%,3.8 out of 5 stars,14,https://www.amazon.ca/ViewSonic-VX4381-4K-Frameless-Widescreen-DisplayPort/dp/B097J4J1Z7/ref=sr_1_151?keywords=4k+monitor&qid=1654371674&sr=8-151
"Acer Canada UM.HE3AA.004 ED3 27"" Screen LCD 14700510, White",,$305.77,0%,4.6 out of 5 stars,209,https://www.amazon.ca/Acer-Canada-UM-HE3AA-004-Screen-14700510/dp/B07BKBLSNH/ref=sr_1_152?keywords=4k+monitor&qid=1654371674&sr=8-152
"Samsung LF24T454FQNXGO 24"" Business Monitor with IPS Panel",,$285.90,0%,5.0 out of 5 stars,3,https://www.amazon.ca/Samsung-LF24T454FQNXGO-Business-Monitor-Panel/dp/B08WGLL83S/ref=sr_1_153?keywords=4k+monitor&qid=1654371674&sr=8-153
Dell U-Series 32-Inch Screen LED-Lit Monitor (U3219Q),"$1,205.99","$1,088.87",-9.71%,4.4 out of 5 stars,391,https://www.amazon.ca/Dell-32-Inch-LED-Lit-Monitor-U3219Q/dp/B07HDBD9CM/ref=sr_1_154?keywords=4k+monitor&qid=1654371674&sr=8-154
"Sceptre 35 Inch Curved UltraWide 21: 9 LED Creative Monitor QHD 3440x1440 Frameless AMD Freesync HDMI DisplayPort Up to 100Hz, Machine Black 2020 (C355W-3440UN)",$682.07,$642.00,-5.87%,4.5 out of 5 stars,"3,141",https://www.amazon.ca/Sceptre-C355W-3440UN-Super-Curved-Ultrawide/dp/B0812DKDD9/ref=sr_1_155?keywords=4k+monitor&qid=1654371674&sr=8-155
"AOC C27G2Z 27"" Curved FHD Computer Gaming Monitor, Black",,$324.99,0%,4.7 out of 5 stars,782,https://www.amazon.ca/AOC-C27G2Z-Curved-Computer-Monitor/dp/B088LG2BSW/ref=sr_1_156?keywords=4k+monitor&qid=1654371674&sr=8-156
"ASUS 27” 1080P Video Conference Monitor (BE279QSK) - Full HD, IPS, Built-in Adjustable 2MP Webcam, Mic Array, Speakers, Eye Care, Wall Mountable, Frameless, HDMI, DisplayPort, VGA, Height Adjustable",,$339.99,0%,4.0 out of 5 stars,66,https://www.amazon.ca/1080P-Conference-Monitor-BE279QSK-Built/dp/B0966YMVMB/ref=sr_1_157?keywords=4k+monitor&qid=1654371674&sr=8-157
