,Unnamed: 0,Organisation,Location,Date,Detail,Rocket_Status,Price,Mission_Status
1215,1215,VKS RF,"Site 16/2, Plesetsk Cosmodrome, Russia","Mon Dec 27, 1999 19:12 UTC",Molniya-M /Block 2BL | Cosmos 2368,StatusRetired,,Success
1216,1216,VKS RF,"Site 90/20, Baikonur Cosmodrome, Kazakhstan","Sun Dec 26, 1999 08:00 UTC",Tsyklon-2 | Cosmos 2367,StatusRetired,,Success
1217,1217,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Wed Dec 22, 1999 00:50 UTC",Ariane 44L | Galaxy-11,StatusRetired,,Success
1218,1218,NASA,"LC-39A, Kennedy Space Center, Florida, USA","Mon Dec 20, 1999 00:50 UTC",Space Shuttle Discovery | STS-103,StatusRetired,450.0,Success
1219,1219,Lockheed,"SLC-3E, Vandenberg AFB, California, USA","Sat Dec 18, 1999 18:57 UTC",Atlas IIAS | Terra,StatusRetired,,Success
1220,1220,Lockheed,"SLC-4W, Vandenberg AFB, California, USA","Sun Dec 12, 1999 17:36 UTC",Titan II(23)G | USA-147,StatusRetired,35.0,Success
1221,1221,AEB,"VLS Pad, Alc?›ntara Launch Center, Maranh?œo, Brazil","Sat Dec 11, 1999 19:40 UTC",VLS-1 | SACI-2,StatusActive,,Failure
1222,1222,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Fri Dec 10, 1999 14:32 UTC",Ariane 5 G | XMM-Newton,StatusRetired,,Success
1223,1223,Northrop,"Stargazer, Vandenberg AFB, California, USA","Sat Dec 04, 1999 18:53 UTC",Pegasus XL/HAPS | Orbcomm D1-D8,StatusActive,40.0,Success
1224,1224,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Fri Dec 03, 1999 16:22 UTC",Ariane 40 | Helios 1B & Cl??mentine,StatusRetired,,Success
1225,1225,Lockheed,"SLC-36B, Cape Canaveral AFS, Florida, USA","Tue Nov 23, 1999 04:06 UTC",Atlas IIA | UHF F10,StatusRetired,,Success
1226,1226,CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China","Fri Nov 19, 1999 22:30 UTC",Long March 2F | Shenzhou 1,StatusActive,,Success
1227,1227,MHI,"LA-Y1, Tanegashima Space Center, Japan","Mon Nov 15, 1999 07:29 UTC",H-IIS | Himawari 6,StatusRetired,,Failure
1228,1228,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Sat Nov 13, 1999 22:54 UTC",Ariane 44LP | GE-4,StatusRetired,,Success
1229,1229,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Tue Oct 19, 1999 06:22 UTC",Ariane 44LP | Orion 2,StatusRetired,,Success
1230,1230,CASC,"LC-7, Taiyuan Satellite Launch Center, China","Thu Oct 14, 1999 03:15 UTC",Long March 4B | CBERS-1 & SACI 1,StatusActive,64.68,Success
1231,1231,Sea Launch,"LP Odyssey, Kiritimati Launch Area, Pacific Ocean","Sun Oct 10, 1999",Zenit-3 SL | DirecTV 1R,StatusActive,,Success
1232,1232,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Sat Sep 25, 1999 06:29 UTC",Ariane 44LP | Telstar 7,StatusRetired,,Success
1233,1233,Lockheed,"SLC-6, Vandenberg AFB, California, USA","Fri Sep 24, 1999 18:21 UTC",Athena II | Ikonos 1,StatusRetired,,Success
1234,1234,ILS,"SLC-36A, Cape Canaveral AFS, Florida, USA","Thu Sep 23, 1999 06:02 UTC",Atlas IIAS | Echostar 5,StatusRetired,,Success
1235,1235,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Sat Sep 04, 1999 22:34 UTC",Ariane 42P | Koreasat-3,StatusRetired,,Success
1236,1236,VKS RF,"Site 132/1, Plesetsk Cosmodrome, Russia","Thu Aug 26, 1999 12:02 UTC",Cosmos-3M (11K65M) | Cosmos 2366,StatusRetired,,Success
1237,1237,Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA","Tue Aug 17, 1999 04:37 UTC",Delta II 7420-10C | Globalstar 6,StatusRetired,,Success
1238,1238,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Thu Aug 12, 1999 22:52 UTC",Ariane 42P | Telkom-1,StatusRetired,,Success
1239,1239,Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA","Sat Aug 07, 1999 12:51 UTC",Delta II 7925 | USA-145 (GPS IIR-3),StatusRetired,,Success
1240,1240,Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA","Sun Jul 25, 1999 07:46 UTC",Delta II 7420-10C | Globalstar 5,StatusRetired,,Success
1241,1241,NASA,"LC-39B, Kennedy Space Center, Florida, USA","Fri Jul 23, 1999 04:31 UTC",Space Shuttle Columbia | STS-93,StatusRetired,450.0,Success
1242,1242,VKS RF,"Site 45/1, Baikonur Cosmodrome, Kazakhstan","Sat Jul 17, 1999 05:37 UTC",Zenit-2 | Okean-O n†­1,StatusRetired,,Success
1243,1243,Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA","Sat Jul 10, 1999 08:45 UTC",Delta II 7420-10C | Globalstar 4,StatusRetired,,Success
1244,1244,VKS RF,"Site 43/3, Plesetsk Cosmodrome, Russia","Thu Jul 08, 1999 08:45 UTC",Molniya-M /Block ML | Molniya-3 n†­169,StatusRetired,,Success
1245,1245,Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA","Thu Jun 24, 1999 15:44 UTC",Delta II 7320-10C | FUSE,StatusRetired,,Success
1246,1246,Lockheed,"SLC-4W, Vandenberg AFB, California, USA","Sun Jun 20, 1999 02:15 UTC",Titan II(23)G | QuikSCAT,StatusRetired,35.0,Success
1247,1247,CASC,"LC-7, Taiyuan Satellite Launch Center, China","Fri Jun 11, 1999 17:15 UTC",Long March 2C | Iridium 92 & 93,StatusActive,30.8,Success
1248,1248,Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA","Thu Jun 10, 1999 13:48 UTC",Delta II 7420-10C | Globalstar 3,StatusRetired,,Success
1249,1249,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India","Sat May 29, 1999 11:52 UTC","PSLV-G | IRS-P4, DLR-Tubsat, & Kitsat-3",StatusRetired,25.0,Success
1250,1250,NASA,"LC-39B, Kennedy Space Center, Florida, USA","Thu May 27, 1999 10:49 UTC",Space Shuttle Discovery | STS-96,StatusRetired,450.0,Success
1251,1251,Lockheed,"SLC-4E, Vandenberg AFB, California, USA","Sat May 22, 1999 09:36 UTC",Titan IV(404)B | NROL-9 (Misty),StatusRetired,,Success
1252,1252,Northrop,"Stargazer, Vandenberg AFB, California, USA","Tue May 18, 1999 05:09 UTC",Pegasus XL/HAPS | TERRIERS & MUBLCOM,StatusActive,40.0,Success
1253,1253,CASC,"LC-7, Taiyuan Satellite Launch Center, China","Mon May 10, 1999 01:33 UTC",Long March 4B | Fengyun 1C & Shijian-5,StatusActive,64.68,Success
1254,1254,Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA","Wed May 05, 1999 01:00 UTC",Delta III 8930 | Orion 3,StatusRetired,,Failure
1255,1255,Lockheed,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri Apr 30, 1999 16:30 UTC",Titan IV(401)B | Milstar DFS-3m,StatusRetired,,Failure
1256,1256,VKS RF,"Site 107/1, Kapustin Yar, Russia","Wed Apr 28, 1999",Cosmos-3M (11K65M) | ABRIXAS & Megsat 0,StatusRetired,,Success
1257,1257,Lockheed,"SLC-6, Vandenberg AFB, California, USA","Tue Apr 27, 1999 18:22 UTC",Athena II | Ikonos,StatusRetired,,Failure
1258,1258,Kosmotras,"Site 109/95, Baikonur Cosmodrome, Kazakhstan","Wed Apr 21, 1999",Dnepr | UoSat 12,StatusRetired,29.0,Success
1259,1259,Boeing,"SLC-2W, Vandenberg AFB, California, USA","Thu Apr 15, 1999 18:32 UTC",Delta II 7920-10 | Landsat 7,StatusRetired,,Success
1260,1260,ILS,"SLC-36A, Cape Canaveral AFS, Florida, USA","Mon Apr 12, 1999 22:50 UTC",Atlas IIAS | Eutelsat W3,StatusRetired,,Success
1261,1261,Lockheed,"SLC-41, Cape Canaveral AFS, Florida, USA","Fri Apr 09, 1999 17:01 UTC",Titan IV(402)B | DSP,StatusRetired,,Failure
1262,1262,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Fri Apr 02, 1999 22:03 UTC",Ariane 42P | Insat-2E,StatusRetired,,Success
1263,1263,Sea Launch,"LP Odyssey, Kiritimati Launch Area, Pacific Ocean","Sun Mar 28, 1999",Zenit-3 SL | DemoSat,StatusActive,,Success
1264,1264,Northrop,"Stargazer, Vandenberg AFB, California, USA","Fri Mar 05, 1999 02:56 UTC",Pegasus XL | WIRE,StatusActive,40.0,Success
1265,1265,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Fri Feb 26, 1999 22:44 UTC","Ariane 44L | Arabsat-3A, Skynet 4E",StatusRetired,,Success
1266,1266,Boeing,"SLC-2W, Vandenberg AFB, California, USA","Tue Feb 23, 1999 10:29 UTC","Delta II 7920-10 | ARGOS (P91-1 ARGOS), ?örsted and SUNSAT",StatusRetired,,Success
1267,1267,ILS,"SLC-36A, Cape Canaveral AFS, Florida, USA","Tue Feb 16, 1999 01:45 UTC",Atlas IIAS | JCSAT-6,StatusRetired,,Success
1268,1268,Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA","Sun Feb 07, 1999 21:04 UTC",Delta II 7426 | Stardust,StatusRetired,,Success
1269,1269,Lockheed,"SLC-46, Cape Canaveral AFS, Florida, USA","Wed Jan 27, 1999 00:34 UTC",Athena I | ROCSAT 1,StatusRetired,,Success
1270,1270,Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA","Sun Jan 03, 1999 20:21 UTC",Delta II 7425 | Mars Polar Lander,StatusRetired,,Success
1271,1271,VKS RF,"Site 132/1, Plesetsk Cosmodrome, Russia","Thu Dec 24, 1998 20:02 UTC",Cosmos-3M (11K65M) | Cosmos 2361,StatusRetired,,Success
1272,1272,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Tue Dec 22, 1998 01:08 UTC",Ariane 42L | Panamsat-6B,StatusRetired,,Success
1273,1273,CASC,"LC-7, Taiyuan Satellite Launch Center, China","Sat Dec 19, 1998 11:39 UTC",Long March 2C | Iridium 88 & 89,StatusActive,30.8,Success
1274,1274,Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA","Fri Dec 11, 1998 18:45 UTC",Delta II 7425 | Mars Climate Orbiter,StatusRetired,,Success
1275,1275,VKS RF,"Site 132/1, Plesetsk Cosmodrome, Russia","Thu Dec 10, 1998 11:57 UTC",Cosmos-3M (11K65M) | Nadiezhda n†­8 & Astrid 2,StatusRetired,,Success
1276,1276,Northrop,"Stargazer, Vandenberg AFB, California, USA","Sun Dec 06, 1998 00:57 UTC",Pegasus XL | SWAS,StatusActive,40.0,Success
1277,1277,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Sun Dec 06, 1998 00:43 UTC",Ariane 42L | Satmex 5,StatusRetired,,Success
1278,1278,NASA,"LC-39A, Kennedy Space Center, Florida, USA","Fri Dec 04, 1998 08:35 UTC",Space Shuttle Endeavour | STS-88,StatusRetired,450.0,Success
1279,1279,Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA","Sun Nov 22, 1998 23:54 UTC",Delta II 7925 | BONUM-1,StatusRetired,,Success
1280,1280,Boeing,"SLC-2W, Vandenberg AFB, California, USA","Fri Nov 06, 1998 13:37 UTC",Delta II 7920-10C | MS-11,StatusRetired,,Success
1281,1281,NASA,"LC-39B, Kennedy Space Center, Florida, USA","Thu Oct 29, 1998 19:19 UTC",Space Shuttle Discovery | STS-95,StatusRetired,450.0,Success
1282,1282,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Wed Oct 28, 1998 22:15 UTC","Ariane 44L | Afristar, GE-5",StatusRetired,,Success
1283,1283,Northrop,"Stargazer, Cape Canaveral AFS, Florida, USA","Thu Oct 22, 1998 00:02 UTC",Pegasus | SCD-2,StatusRetired,40.0,Success
1284,1284,ESA,"ELA-3, Guiana Space Centre, French Guiana, France","Wed Oct 21, 1998 16:37 UTC",Ariane 5 G | MaqSat 3 & ARD,StatusRetired,,Success
1285,1285,Lockheed,"SLC-36A, Cape Canaveral AFS, Florida, USA","Tue Oct 20, 1998 07:19 UTC",Atlas IIA | UHF F9,StatusRetired,,Success
1286,1286,ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA","Fri Oct 09, 1998 22:50 UTC",Atlas IIA | Hot Bird 5,StatusRetired,,Success
1287,1287,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Mon Oct 05, 1998 22:51 UTC","Ariane 44L | Eutelsat W2, Sirius-3",StatusRetired,,Success
1288,1288,Northrop,"SLC-576E, Vandenberg AFB, California, USA","Sat Oct 03, 1998 10:04 UTC",Minotaur C (Taurus) | STEX (NROL-8),StatusActive,45.0,Success
1289,1289,VKS RF,"Site 43/3, Plesetsk Cosmodrome, Russia","Mon Sep 28, 1998 23:41 UTC",Molniya-M /Block ML | Molniya-1T n†­168,StatusRetired,,Success
1290,1290,Northrop,"Stargazer, Wallops Flight Facility, Virginia, USA","Wed Sep 23, 1998 05:06 UTC",Pegasus XL/HAPS | Orbcomm C1 - C8,StatusActive,40.0,Success
1291,1291,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Wed Sep 16, 1998 06:31 UTC",Ariane 44LP | Panamsat-7,StatusRetired,,Success
1292,1292,VKS RF,"Site 45/1, Baikonur Cosmodrome, Kazakhstan","Wed Sep 09, 1998 20:29 UTC",Zenit-2 | Globalstar Satellites,StatusRetired,,Failure
1293,1293,Boeing,"SLC-2W, Vandenberg AFB, California, USA","Tue Sep 08, 1998 21:13 UTC",Delta II 7920-10C | MS-10,StatusRetired,,Success
1294,1294,KCST,"Pad 1, Tonghae Satellite Launching Ground, North Korea","Mon Aug 31, 1998 03:07 UTC",Taepodong-1 | Kwangmyngsng 1,StatusRetired,,Failure
1295,1295,Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA","Thu Aug 27, 1998 01:17 UTC",Delta III 8930 | Galaxy 10,StatusRetired,,Failure
1296,1296,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Tue Aug 25, 1998 23:07 UTC",Ariane 44P | ST-1,StatusRetired,,Success
1297,1297,Boeing,"SLC-2W, Vandenberg AFB, California, USA","Mon Aug 24, 1998 12:08 UTC",Delta II 7920-10C | Deep Space 1,StatusRetired,,Success
1298,1298,CASC,"LC-7, Taiyuan Satellite Launch Center, China","Wed Aug 19, 1998 23:01 UTC",Long March 2C | Iridium 76 & 78,StatusActive,30.8,Success
1299,1299,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia","Wed Aug 12, 1998 12:53 UTC",Molniya-M /Block ML | Molniya-1 n†­133,StatusRetired,,Success
1300,1300,Lockheed,"SLC-41, Cape Canaveral AFS, Florida, USA","Wed Aug 12, 1998 11:30 UTC",Titan IV(401)A | NROL-7 (Mercury),StatusRetired,,Failure
1301,1301,Northrop,"Stargazer, Wallops Flight Facility, Virginia, USA","Sun Aug 02, 1998 16:24 UTC",Pegasus XL/HAPS | Orbcomm B1 - B8,StatusActive,40.0,Success
1302,1302,VKS RF,"Site 45/1, Baikonur Cosmodrome, Kazakhstan","Tue Jul 28, 1998 09:15 UTC",Zenit-2 | Cosmos 2360,StatusRetired,,Success
1303,1303,VKS RF,"Site 45/1, Baikonur Cosmodrome, Kazakhstan","Fri Jul 10, 1998 06:30 UTC",Zenit-2 | Resurs-O1 n†­4 & Others,StatusRetired,,Success
1304,1304,SRC,"K-407 Submarine, Barents Sea Launch Area, Barents Sea","Tue Jul 07, 1998 03:15 UTC",Shtil' | Tubsat,StatusRetired,,Success
1305,1305,ISAS,"Mu Pad, Uchinoura Space Center, Japan","Fri Jul 03, 1998 18:12 UTC",Mu-V / M-24 | Nozomi,StatusRetired,,Success
1306,1306,VKS RF,"Site 43/3, Plesetsk Cosmodrome, Russia","Wed Jul 01, 1998 00:48 UTC",Molniya-M /Block ML | Molniya-3 n†­167,StatusRetired,,Success
1307,1307,ILS,"SLC-36A, Cape Canaveral AFS, Florida, USA","Thu Jun 18, 1998 22:48 UTC",Atlas IIAS | Intelsat 805,StatusRetired,,Success
1308,1308,CASC,"LC-2, Xichang Satellite Launch Center, China","Thu Jun 18, 1998 09:20 UTC",Long March 3B | SinoSat 1,StatusActive,,Success
1309,1309,VKS RF,"Site 32/1, Plesetsk Cosmodrome, Russia","Mon Jun 15, 1998 22:58 UTC",Tsyklon-3 | Cosmos 2352 to 2357,StatusRetired,,Partial Failure
1310,1310,Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA","Wed Jun 10, 1998 00:35 UTC",Delta II 7925 | Thor III,StatusRetired,,Success
1311,1311,NASA,"LC-39A, Kennedy Space Center, Florida, USA","Tue Jun 02, 1998 22:06 UTC",Space Shuttle Discovery | STS-91,StatusRetired,450.0,Success
1312,1312,CASC,"LC-2, Xichang Satellite Launch Center, China","Sat May 30, 1998 10:00 UTC",Long March 3B | ChinaStar 1,StatusActive,,Success
1313,1313,Boeing,"SLC-2W, Vandenberg AFB, California, USA","Sun May 17, 1998 21:16 UTC",Delta II 7920-10C | MS-9,StatusRetired,,Success
1314,1314,Lockheed,"SLC-4W, Vandenberg AFB, California, USA","Wed May 13, 1998 15:52 UTC",Titan II(23)G | NOAA-15,StatusRetired,35.0,Success
1315,1315,Lockheed,"SLC-40, Cape Canaveral AFS, Florida, USA","Sat May 09, 1998 01:38 UTC",Titan IV(401)B | NROL-6 (Mentor),StatusRetired,,Success
1316,1316,VKS RF,"Site 16/2, Plesetsk Cosmodrome, Russia","Thu May 07, 1998 08:53 UTC",Molniya-M /Block 2BL | Cosmos 2351,StatusRetired,,Success
1317,1317,CASC,"LC-7, Taiyuan Satellite Launch Center, China","Sat May 02, 1998 09:16 UTC",Long March 2C | Iridium 69 & 71,StatusActive,30.8,Success
1318,1318,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Tue Apr 28, 1998 22:53 UTC","Ariane 44P | Nilesat-101, BSAT-1B",StatusRetired,,Success
1319,1319,Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA","Fri Apr 24, 1998 22:38 UTC",Delta II 7920-10C | Globalstar-2,StatusRetired,,Success
1320,1320,NASA,"LC-39B, Kennedy Space Center, Florida, USA","Fri Apr 17, 1998 18:19 UTC",Space Shuttle Columbia | STS-90,StatusRetired,450.0,Success
1321,1321,Northrop,"Stargazer, Vandenberg AFB, California, USA","Thu Apr 02, 1998 16:24 UTC",Pegasus XL | TRACE,StatusActive,40.0,Success
1322,1322,Boeing,"SLC-2W, Vandenberg AFB, California, USA","Mon Mar 30, 1998 06:02 UTC",Delta II 7920-10C | MS-8,StatusRetired,,Success
1323,1323,CASC,"LC-7, Taiyuan Satellite Launch Center, China","Wed Mar 25, 1998 17:01 UTC",Long March 2C | Iridium 51 & 61,StatusActive,30.8,Success
1324,1324,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Tue Mar 24, 1998 01:46 UTC",Ariane 40 | SPOT-4,StatusRetired,,Success
1325,1325,Lockheed,"SLC-36A, Cape Canaveral AFS, Florida, USA","Mon Mar 16, 1998 21:32 UTC",Atlas II | UHF F8,StatusRetired,,Success
1326,1326,ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA","Sat Feb 28, 1998 00:21 UTC",Atlas IIAS | Intelsat 806,StatusRetired,,Success
1327,1327,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Fri Feb 27, 1998 22:38 UTC",Ariane 42P | Hot Bird 4,StatusRetired,,Success
1328,1328,Northrop,"Stargazer, Wallops Flight Facility, Virginia, USA","Thu Feb 26, 1998 07:07 UTC",Pegasus XL | SNOE & BATSAT,StatusActive,40.0,Success
1329,1329,MHI,"LA-Y1, Tanegashima Space Center, Japan","Sat Feb 21, 1998 07:55 UTC",H-II | Kakehashi,StatusRetired,,Partial Failure
1330,1330,Boeing,"SLC-2W, Vandenberg AFB, California, USA","Wed Feb 18, 1998 13:58 UTC",Delta II 7920-10C | MS-7,StatusRetired,,Success
1331,1331,Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA","Sat Feb 14, 1998 14:24 UTC",Delta II 7420-10C | Globalstar-1,StatusRetired,,Success
1332,1332,Northrop,"SLC-576E, Vandenberg AFB, California, USA","Tue Feb 10, 1998 13:20 UTC",Minotaur C (Taurus) | GFO & Orbcomm 11 and 12,StatusActive,45.0,Success
1333,1333,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Wed Feb 04, 1998 23:29 UTC","Ariane 44LP | Brasilsat B3, Inmarsat-3 F5",StatusRetired,,Success
1334,1334,Lockheed,"SLC-36A, Cape Canaveral AFS, Florida, USA","Thu Jan 29, 1998 18:37 UTC",Atlas IIA | NROL-5/SDS,StatusRetired,,Success
1335,1335,IAI,"Pad 1, Palmachim Airbase, Israel","Thu Jan 22, 1998",Shavit | Ofek-4,StatusRetired,,Failure
1336,1336,NASA,"LC-39A, Kennedy Space Center, Florida, USA","Thu Jan 22, 1998 02:48 UTC",Space Shuttle Endeavour | STS-89,StatusRetired,450.0,Success
1337,1337,Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA","Sat Jan 10, 1998 00:32 UTC",Delta II 7925 | Skynet 4D,StatusRetired,,Success
1338,1338,Lockheed,"SLC-46, Cape Canaveral AFS, Florida, USA","Wed Jan 07, 1998 02:28 UTC",Athena II | Lunar Prospector,StatusRetired,,Success
1339,1339,ILS,"Site 81/23, Baikonur Cosmodrome, Kazakhstan","Wed Dec 24, 1997 23:19 UTC",Proton K/Block DM-3 | PAS-22,StatusRetired,,Partial Failure
1340,1340,MITT,"Svobodny Cosmodrome, Russia","Wed Dec 24, 1997 13:32 UTC",Start-1 | Earlybird 1,StatusActive,,Success
1341,1341,Northrop,"Stargazer, Wallops Flight Facility, Virginia, USA","Tue Dec 23, 1997 19:11 UTC",Pegasus XL/HAPS | Orbcomm A1-A8,StatusActive,40.0,Success
1342,1342,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Mon Dec 22, 1997 00:16 UTC",Ariane 42L | Intelsat 804,StatusRetired,,Success
1343,1343,Boeing,"SLC-2W, Vandenberg AFB, California, USA","Sat Dec 20, 1997 13:16 UTC",Delta II 7920-10C | MS-6,StatusRetired,,Success
1344,1344,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Fri Dec 12, 1997 21:48 UTC","Ariane 44L | Sirius-2, Cakrawarta-1",StatusRetired,,Success
1345,1345,VKS RF,"Site 90/20, Baikonur Cosmodrome, Kazakhstan","Tue Dec 09, 1997 07:17 UTC",Tsyklon-2 | Cosmos 2347,StatusRetired,,Success
1346,1346,ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA","Mon Dec 08, 1997 23:52 UTC",Atlas IIAS | Galaxy 8i,StatusRetired,,Success
1347,1347,CASC,"LC-7, Taiyuan Satellite Launch Center, China","Mon Dec 08, 1997 07:16 UTC",Long March 2C | Iridium 42 & 44,StatusActive,30.8,Success
1348,1348,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Tue Dec 02, 1997 22:52 UTC","Ariane 44P | JCSAT-5, Equator S",StatusRetired,,Success
1349,1349,MHI,"LA-Y1, Tanegashima Space Center, Japan","Thu Nov 27, 1997 21:27 UTC",H-II | TRMM & Orihime/Hikoboshi,StatusRetired,,Success
1350,1350,NASA,"LC-39B, Kennedy Space Center, Florida, USA","Wed Nov 19, 1997 19:46 UTC",Space Shuttle Columbia | STS-87,StatusRetired,450.0,Success
1351,1351,Boeing,"SLC-2W, Vandenberg AFB, California, USA","Sun Nov 09, 1997 01:34 UTC",Delta II 7920-10C | MS-5,StatusRetired,,Success
1352,1352,Lockheed,"SLC-41, Cape Canaveral AFS, Florida, USA","Sat Nov 08, 1997 02:05 UTC",Titan IV(401)A | NROL-4 (Trumpet),StatusRetired,,Success
1353,1353,Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA","Thu Nov 06, 1997 00:30 UTC",Delta II 7925 | USA-134 (GPS IIA-19),StatusRetired,,Success
1354,1354,AEB,"VLS Pad, Alc?›ntara Launch Center, Maranh?œo, Brazil","Sun Nov 02, 1997",VLS-1 | SCD-2A,StatusActive,,Failure
1355,1355,ESA,"ELA-3, Guiana Space Centre, French Guiana, France","Thu Oct 30, 1997 13:43 UTC","Ariane 5 G | MaqSat-H, TEAMSAT, MaqSat-B, YES",StatusRetired,,Partial Failure
1356,1356,Lockheed,"SLC-36A, Cape Canaveral AFS, Florida, USA","Sat Oct 25, 1997 00:46 UTC",Atlas IIA | DSCS IIIB-13,StatusRetired,,Success
1357,1357,Lockheed,"SLC-4E, Vandenberg AFB, California, USA","Fri Oct 24, 1997 02:32 UTC",Titan IV(403)A | NROL-3 (Lacrosse),StatusRetired,,Success
1358,1358,Northrop,"Stargazer, Wallops Flight Facility, Virginia, USA","Wed Oct 22, 1997 13:13 UTC",Pegasus XL | STEP-4,StatusActive,40.0,Success
1359,1359,CASC,"LC-2, Xichang Satellite Launch Center, China","Thu Oct 16, 1997 19:13 UTC",Long March 3B | Apstar 2R,StatusActive,,Success
1360,1360,Lockheed,"SLC-40, Cape Canaveral AFS, Florida, USA","Wed Oct 15, 1997 08:43 UTC",Titan IV(401)B | Cassini???Huygens,StatusRetired,,Success
1361,1361,ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA","Sun Oct 05, 1997 21:01 UTC",Atlas IIAS | Echostar 3,StatusRetired,,Success
1362,1362,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India","Mon Sep 29, 1997 10:20 UTC",PSLV-G | IRS-1D,StatusRetired,25.0,Partial Failure
1363,1363,Boeing,"SLC-2W, Vandenberg AFB, California, USA","Sat Sep 27, 1997 01:23 UTC",Delta II 7920-10C | MS-4,StatusRetired,,Success
1364,1364,NASA,"LC-39A, Kennedy Space Center, Florida, USA","Thu Sep 25, 1997 14:34 UTC",Space Shuttle Atlantis | STS-86,StatusRetired,450.0,Success
1365,1365,VKS RF,"Site 43/3, Plesetsk Cosmodrome, Russia","Wed Sep 24, 1997 21:30 UTC",Molniya-M /Block ML | Molniya-1T n†­166,StatusRetired,,Success
1366,1366,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Tue Sep 23, 1997 23:58 UTC",Ariane 44LP | Intelsat 803,StatusRetired,,Success
1367,1367,VKS RF,"Site 132/1, Plesetsk Cosmodrome, Russia","Tue Sep 23, 1997 16:44 UTC",Cosmos-3M (11K65M) | Cosmos 2346 & FAISAT-2V,StatusRetired,,Success
1368,1368,ILS,"SLC-36A, Cape Canaveral AFS, Florida, USA","Thu Sep 04, 1997 12:03 UTC",Atlas IIAS | GE-3,StatusRetired,,Success
1369,1369,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Tue Sep 02, 1997 22:21 UTC","Ariane 44LP | Hot Bird 3, Meteosat 7",StatusRetired,,Success
1370,1370,CASC,"LC-7, Taiyuan Satellite Launch Center, China","Mon Sep 01, 1997 14:00 UTC",Long March 2C | Iridium mass simulator A&B,StatusActive,30.8,Success
1371,1371,Northrop,"Stargazer, Vandenberg AFB, California, USA","Fri Aug 29, 1997 15:02 UTC",Pegasus XL | FORTE,StatusActive,40.0,Success
1372,1372,Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA","Mon Aug 25, 1997 14:39 UTC",Delta II 7920-8 | Advanced Composition Explorer,StatusRetired,,Success
1373,1373,Lockheed,"SLC-6, Vandenberg AFB, California, USA","Sat Aug 23, 1997 06:51 UTC",Athena I | Lewis,StatusRetired,,Success
